game_id,game_name,scenario_id,scenario_name,access_score,provider_viability,equity_score,fiscal_control,hospital_pressure,gaming_risk,system_welfare,equilibrium_label,mechanism_summary,draw,marginal_contact_benefit,capitation_weighting,scope_flexibility,pho_transaction_cost,primary_kpi_salience,ambulance_kpi_salience,hospital_political_penalty,data_observability,copayment_level,copayment_protections,equity_program_strength,telehealth_scale,telehealth_integration,local_inperson_loading,ambulance_alternative_funding,acc_activity_funding,acc_constraint,budget_tightness,safety_governance,gaming_controls,direct_claiming,stakeholder_alignment,narrative_coherence
G11,KPI salience game,S3,Full upstream access architecture,81.78,76.15,91.6,75.48,31.5,8.0,78.49,upstream target salience with balancing measures,"Top-tier KPIs shift behaviour only if paired with funding levers, data and balancing measures.",148,0.884,0.813,0.853,0.175,0.894,0.892,0.588,0.674,0.371,0.902,0.892,0.686,0.784,0.763,0.762,0.778,0.0,0.593,0.854,1.0,0.812,0.679,0.694
G5,PHO intermediation game,S0,Status quo tight control,12.12,23.78,58.8,76.34,83.53,28.14,31.59,intermediated-gatekeeping equilibrium,Direct claiming improves entry only if PHO/locality equity and population-health functions are explicitly preserved.,423,0.169,0.408,0.14,0.616,0.043,0.175,0.907,0.155,0.606,0.362,0.732,0.47,0.392,0.15,0.219,0.563,0.113,0.84,0.682,0.56,0.0,0.304,0.08
G4,Consumer access pathway game,S4,"Loose benefits, weak controls",52.46,66.21,48.58,66.16,69.99,26.28,48.68,delay/ED-substitution equilibrium,"Patients move to lower-cost access when price, wait, travel and trust costs are lower than delay or ED substitution.",876,0.853,0.622,0.842,0.079,0.683,0.666,0.714,0.657,0.749,0.301,0.366,0.93,0.45,0.109,0.555,0.617,0.0,0.745,0.562,0.236,0.924,0.216,0.11
G6,ACC/Health NZ cross-funder game,S0,Status quo tight control,32.82,38.54,59.25,64.26,75.89,26.83,39.27,siloed-cost-shifting equilibrium,ACC activity funding can stabilise lower-cost capacity; constraining it in isolation risks spillover to Health NZ and patients.,566,0.049,0.308,0.147,0.621,0.262,0.18,0.89,0.272,0.608,0.426,0.507,0.542,0.323,0.258,0.15,0.693,0.112,0.807,0.664,0.538,0.023,0.481,0.269
G9,Telehealth/local-supply game,S4,"Loose benefits, weak controls",67.67,40.87,50.11,77.16,64.23,36.86,49.59,telehealth-substitution/fragmentation,Telehealth improves simple access but must be integrated and paired with local in-person capacity.,215,1.0,0.549,0.986,0.107,0.752,0.9,0.787,0.54,0.715,0.301,0.419,0.849,0.202,0.334,0.656,0.507,0.0,0.683,0.387,0.371,1.0,0.233,0.146
G9,Telehealth/local-supply game,S4,"Loose benefits, weak controls",67.75,45.17,56.45,78.77,59.55,31.03,53.78,telehealth-substitution/fragmentation,Telehealth improves simple access but must be integrated and paired with local in-person capacity.,400,0.956,0.567,0.913,0.049,0.682,0.606,0.668,0.399,0.696,0.263,0.424,0.859,0.535,0.157,0.519,0.607,0.0,0.845,0.307,0.346,0.869,0.237,0.383
G13,Political economy game,S1,Capitation reweighting only,43.65,46.58,69.26,76.5,65.58,17.05,51.36,institutional-defence equilibrium,Reform becomes feasible when framed as patient access and hospital avoidance rather than sector income or anti-PHO politics.,303,0.063,0.749,0.269,0.607,0.335,0.328,0.792,0.506,0.419,0.423,0.742,0.585,0.46,0.375,0.31,0.641,0.074,0.861,0.734,0.49,0.0,0.368,0.276
G1,Hospital-salience budget game,S1,Capitation reweighting only,29.62,26.36,66.42,84.1,76.8,16.51,43.06,hospital-rescue equilibrium,"Hospital rescue bias falls only when upstream access becomes visible, funded and politically salient.",699,0.037,0.798,0.356,0.572,0.24,0.22,0.934,0.584,0.59,0.564,0.67,0.51,0.379,0.165,0.21,0.599,0.06,0.875,0.778,0.619,0.113,0.491,0.55
G8,Scope-of-practice supply game,S2,Primary Care Benefits Schedule,66.44,65.3,69.27,71.69,55.88,14.31,62.1,scope-enabled supply equilibrium,"Funding eligibility should follow safe scope and governance, not professional category alone.",522,0.735,0.782,0.553,0.293,0.509,0.455,0.704,0.615,0.473,0.569,0.592,0.706,0.485,0.497,0.69,0.592,0.076,0.479,0.885,0.65,0.78,0.611,0.552
G11,KPI salience game,S2,Primary Care Benefits Schedule,63.89,65.38,75.78,72.81,50.08,16.75,63.41,upstream target salience with balancing measures,"Top-tier KPIs shift behaviour only if paired with funding levers, data and balancing measures.",932,0.762,0.731,0.703,0.249,0.624,0.353,0.816,0.588,0.41,0.629,0.664,0.6,0.475,0.56,0.353,0.585,0.102,0.666,0.669,0.689,0.839,0.519,0.774
G8,Scope-of-practice supply game,S3,Full upstream access architecture,71.55,69.47,80.72,76.54,49.28,13.06,68.82,scope-enabled supply equilibrium,"Funding eligibility should follow safe scope and governance, not professional category alone.",333,0.746,0.884,0.794,0.087,0.802,0.922,0.617,0.989,0.295,0.856,0.886,0.764,0.764,0.776,0.752,0.665,0.0,0.589,0.758,0.818,0.797,0.806,0.746
G8,Scope-of-practice supply game,S1,Capitation reweighting only,30.27,38.83,61.25,79.77,86.66,17.0,42.11,professional-bottleneck equilibrium,"Funding eligibility should follow safe scope and governance, not professional category alone.",689,0.044,0.722,0.302,0.626,0.485,0.335,0.875,0.554,0.64,0.459,0.632,0.589,0.406,0.303,0.385,0.671,0.177,0.868,0.556,0.5,0.023,0.264,0.266
G5,PHO intermediation game,S3,Full upstream access architecture,64.06,67.47,79.99,78.05,38.12,22.0,66.43,optional/direct-claiming equilibrium,Direct claiming improves entry only if PHO/locality equity and population-health functions are explicitly preserved.,517,0.733,0.821,0.88,0.197,0.829,0.736,0.567,0.896,0.151,0.816,0.973,0.559,0.765,0.825,0.699,0.673,0.167,0.517,0.911,0.822,0.773,0.673,0.78
G12,Equity and trust game,S2,Primary Care Benefits Schedule,75.94,72.4,72.55,70.61,38.57,16.87,68.53,benefits plus equity-function equilibrium,"Demand-driven benefits need retained kaupapa Maori, Pacific, rural and locality functions to avoid transactional equity failure.",128,0.851,0.763,0.56,0.21,0.552,0.535,0.874,0.594,0.45,0.495,0.736,0.735,0.414,0.615,0.598,0.767,0.149,0.523,0.622,0.648,0.693,0.75,0.419
G1,Hospital-salience budget game,S2,Primary Care Benefits Schedule,57.75,53.98,67.6,65.09,47.28,19.88,56.28,upstream-salience equilibrium,"Hospital rescue bias falls only when upstream access becomes visible, funded and politically salient.",627,0.721,0.651,0.731,0.376,0.47,0.567,0.773,0.549,0.523,0.439,0.746,0.658,0.537,0.558,0.43,0.666,0.028,0.522,0.735,0.813,0.749,0.551,0.705
G4,Consumer access pathway game,S4,"Loose benefits, weak controls",64.3,70.36,57.35,60.37,60.12,27.87,54.72,early-access equilibrium,"Patients move to lower-cost access when price, wait, travel and trust costs are lower than delay or ED substitution.",271,1.0,0.73,0.828,0.211,0.648,0.728,0.668,0.45,0.586,0.388,0.347,0.997,0.364,0.156,0.671,0.603,0.0,0.9,0.424,0.206,0.884,0.241,0.108
G11,KPI salience game,S1,Capitation reweighting only,40.67,43.86,73.29,78.01,70.11,15.99,50.75,hospital-target dominance,"Top-tier KPIs shift behaviour only if paired with funding levers, data and balancing measures.",102,0.102,0.772,0.314,0.578,0.46,0.083,0.911,0.458,0.589,0.451,0.815,0.505,0.33,0.398,0.4,0.661,0.029,0.893,0.726,0.573,0.064,0.354,0.376
G14,Data observability game,S3,Full upstream access architecture,86.27,80.01,91.47,85.56,21.93,10.37,83.14,observable upstream-flow equilibrium,"Upstream access failure becomes fundable only when data links it to ambulance, ED and avoidable admission outcomes.",157,0.922,0.803,0.683,0.315,0.851,0.746,0.782,1.0,0.243,0.67,0.865,0.734,0.764,0.749,0.823,0.683,0.0,0.59,0.826,0.981,0.951,0.746,0.986
G6,ACC/Health NZ cross-funder game,S0,Status quo tight control,33.11,38.95,62.36,66.35,74.35,27.94,40.51,whole-of-Crown flow equilibrium,ACC activity funding can stabilise lower-cost capacity; constraining it in isolation risks spillover to Health NZ and patients.,585,0.17,0.398,0.183,0.611,0.131,0.243,0.716,0.342,0.676,0.395,0.651,0.52,0.485,0.255,0.266,0.481,0.067,0.881,0.722,0.387,0.0,0.295,0.23
G1,Hospital-salience budget game,S3,Full upstream access architecture,66.13,58.74,86.06,68.0,36.02,14.12,66.68,upstream-salience equilibrium,"Hospital rescue bias falls only when upstream access becomes visible, funded and politically salient.",430,0.782,0.865,0.78,0.347,0.675,0.851,0.734,0.788,0.403,0.926,1.0,0.623,0.83,0.91,0.864,0.589,0.064,0.483,1.0,1.0,0.768,0.787,0.88
G10,Co-payment calibration game,S1,Capitation reweighting only,56.55,52.56,71.66,73.24,59.57,11.47,57.84,price-rationing equity failure,Co-payment can moderate discretionary demand but becomes a delayed-care mechanism without protections.,22,0.133,0.841,0.356,0.66,0.27,0.168,0.887,0.45,0.608,0.523,0.72,0.651,0.422,0.415,0.356,0.632,0.104,0.628,0.696,0.606,0.15,0.334,0.389
G5,PHO intermediation game,S4,"Loose benefits, weak controls",80.67,81.25,45.48,64.56,31.72,40.31,61.14,optional/direct-claiming equilibrium,Direct claiming improves entry only if PHO/locality equity and population-health functions are explicitly preserved.,263,0.883,0.489,0.956,0.0,0.681,0.668,0.719,0.373,0.696,0.281,0.376,0.98,0.281,0.131,0.643,0.578,0.0,0.949,0.376,0.261,1.0,0.347,0.307
G2,Health NZ internal allocation game,S3,Full upstream access architecture,69.04,58.52,68.12,79.11,33.01,23.02,64.33,balanced internal accountability,Management attention shifts upstream when primary and ambulance outcomes have hospital-equivalent salience.,166,0.794,0.644,0.928,0.14,0.884,0.818,0.611,0.973,0.358,0.903,0.787,0.598,0.892,0.72,0.629,0.726,0.055,0.609,1.0,0.831,0.861,0.874,0.707
G7,Ambulance conveyance game,S2,Primary Care Benefits Schedule,52.51,52.93,63.93,72.38,74.35,13.25,52.53,ED-conveyance default,"Alternative disposition is stable only when payment, clinical governance, data and follow-up reduce organisational risk.",972,0.591,0.738,0.602,0.22,0.662,0.46,0.708,0.675,0.51,0.617,0.582,0.609,0.569,0.458,0.463,0.7,0.0,0.615,0.843,0.786,0.722,0.595,0.669
G7,Ambulance conveyance game,S1,Capitation reweighting only,37.77,47.11,61.91,69.52,86.85,16.81,44.0,ED-conveyance default,"Alternative disposition is stable only when payment, clinical governance, data and follow-up reduce organisational risk.",767,0.0,0.634,0.299,0.681,0.268,0.236,1.0,0.338,0.517,0.539,0.662,0.487,0.571,0.442,0.259,0.696,0.165,0.759,0.729,0.564,0.0,0.414,0.505
G3,Capitation marginal-supply game,S1,Capitation reweighting only,28.6,29.51,67.94,85.61,75.18,12.06,44.98,marginal-rationing equilibrium,"Additional contacts expand only when combined public benefit and co-payment exceed marginal cost, admin cost and risk.",908,0.195,0.77,0.192,0.667,0.492,0.227,0.829,0.427,0.45,0.414,0.676,0.399,0.539,0.187,0.368,0.553,0.0,0.689,0.827,0.575,0.0,0.432,0.34
G10,Co-payment calibration game,S2,Primary Care Benefits Schedule,71.59,61.39,75.58,63.45,46.74,13.55,64.16,calibrated co-payment equilibrium,Co-payment can moderate discretionary demand but becomes a delayed-care mechanism without protections.,972,0.591,0.738,0.602,0.22,0.662,0.46,0.708,0.675,0.51,0.617,0.582,0.609,0.569,0.458,0.463,0.7,0.0,0.615,0.843,0.786,0.722,0.595,0.669
G6,ACC/Health NZ cross-funder game,S3,Full upstream access architecture,58.07,68.82,81.78,64.17,49.93,16.12,62.3,whole-of-Crown flow equilibrium,ACC activity funding can stabilise lower-cost capacity; constraining it in isolation risks spillover to Health NZ and patients.,430,0.782,0.865,0.78,0.347,0.675,0.851,0.734,0.788,0.403,0.926,1.0,0.623,0.83,0.91,0.864,0.589,0.064,0.483,1.0,1.0,0.768,0.787,0.88
G14,Data observability game,S3,Full upstream access architecture,78.57,74.73,88.53,79.78,34.02,18.65,75.17,observable upstream-flow equilibrium,"Upstream access failure becomes fundable only when data links it to ambulance, ED and avoidable admission outcomes.",812,0.888,0.614,0.81,0.189,0.872,0.679,0.623,0.835,0.397,0.62,0.942,0.626,0.71,0.785,0.683,0.77,0.0,0.517,0.894,0.815,0.871,0.889,0.936
G3,Capitation marginal-supply game,S4,"Loose benefits, weak controls",90.9,87.31,58.67,53.83,28.28,27.33,68.89,marginal-expansion equilibrium,"Additional contacts expand only when combined public benefit and co-payment exceed marginal cost, admin cost and risk.",930,1.0,0.768,0.93,0.0,0.686,0.694,0.785,0.498,0.752,0.357,0.403,0.845,0.308,0.274,0.443,0.548,0.0,0.831,0.413,0.307,1.0,0.271,0.193
G8,Scope-of-practice supply game,S1,Capitation reweighting only,33.2,41.54,66.1,78.46,84.11,15.75,44.83,professional-bottleneck equilibrium,"Funding eligibility should follow safe scope and governance, not professional category alone.",640,0.148,0.718,0.308,0.624,0.387,0.225,0.897,0.481,0.516,0.516,0.832,0.632,0.404,0.382,0.246,0.782,0.01,0.939,0.583,0.569,0.014,0.414,0.3
G8,Scope-of-practice supply game,S1,Capitation reweighting only,35.29,43.14,59.94,76.36,83.57,15.98,44.0,professional-bottleneck equilibrium,"Funding eligibility should follow safe scope and governance, not professional category alone.",755,0.265,0.772,0.189,0.571,0.227,0.271,0.774,0.456,0.671,0.442,0.593,0.612,0.337,0.295,0.256,0.608,0.101,0.644,0.803,0.557,0.069,0.255,0.318
G7,Ambulance conveyance game,S1,Capitation reweighting only,42.47,48.24,60.58,69.81,83.75,16.03,45.85,ED-conveyance default,"Alternative disposition is stable only when payment, clinical governance, data and follow-up reduce organisational risk.",609,0.078,0.756,0.202,0.667,0.44,0.209,0.906,0.397,0.656,0.449,0.652,0.524,0.382,0.242,0.324,0.67,0.0,0.728,0.828,0.591,0.076,0.452,0.322
G1,Hospital-salience budget game,S1,Capitation reweighting only,30.1,27.07,65.19,80.23,78.93,19.27,41.57,hospital-rescue equilibrium,"Hospital rescue bias falls only when upstream access becomes visible, funded and politically salient.",57,0.037,0.647,0.322,0.572,0.333,0.099,0.912,0.314,0.456,0.569,0.645,0.612,0.44,0.319,0.369,0.604,0.162,0.782,0.642,0.558,0.059,0.367,0.34
G10,Co-payment calibration game,S0,Status quo tight control,48.33,51.89,57.88,75.03,67.04,10.91,51.76,price-rationing equity failure,Co-payment can moderate discretionary demand but becomes a delayed-care mechanism without protections.,380,0.081,0.28,0.327,0.656,0.15,0.221,0.868,0.287,0.635,0.286,0.507,0.634,0.303,0.104,0.183,0.675,0.17,0.988,0.536,0.597,0.038,0.309,0.156
G1,Hospital-salience budget game,S4,"Loose benefits, weak controls",65.58,55.22,59.29,53.08,41.11,33.22,53.17,upstream-salience equilibrium,"Hospital rescue bias falls only when upstream access becomes visible, funded and politically salient.",390,0.927,0.548,0.952,0.025,0.556,0.577,0.766,0.485,0.653,0.461,0.387,0.877,0.313,0.17,0.581,0.668,0.01,0.866,0.321,0.306,1.0,0.254,0.272
G7,Ambulance conveyance game,S0,Status quo tight control,35.38,46.11,57.2,68.29,87.44,17.76,41.64,ED-conveyance default,"Alternative disposition is stable only when payment, clinical governance, data and follow-up reduce organisational risk.",13,0.0,0.469,0.217,0.654,0.128,0.16,0.999,0.23,0.579,0.357,0.553,0.565,0.499,0.205,0.264,0.635,0.066,0.846,0.744,0.431,0.0,0.306,0.276
G5,PHO intermediation game,S4,"Loose benefits, weak controls",71.42,73.32,42.11,66.51,40.45,37.77,55.97,optional/direct-claiming equilibrium,Direct claiming improves entry only if PHO/locality equity and population-health functions are explicitly preserved.,669,0.925,0.771,0.811,0.144,0.639,0.767,0.596,0.356,0.663,0.293,0.317,0.969,0.301,0.23,0.556,0.763,0.112,0.817,0.398,0.275,0.831,0.209,0.327
G14,Data observability game,S2,Primary Care Benefits Schedule,60.39,58.31,77.68,75.64,58.74,27.23,58.99,observable upstream-flow equilibrium,"Upstream access failure becomes fundable only when data links it to ambulance, ED and avoidable admission outcomes.",792,0.611,0.675,0.568,0.353,0.592,0.614,0.717,0.584,0.439,0.394,0.856,0.691,0.509,0.461,0.386,0.845,0.12,0.465,0.538,0.762,0.923,0.656,0.558
G11,KPI salience game,S0,Status quo tight control,29.95,36.97,60.65,76.95,79.23,12.25,42.94,hospital-target dominance,"Top-tier KPIs shift behaviour only if paired with funding levers, data and balancing measures.",856,0.0,0.252,0.13,0.539,0.126,0.088,0.873,0.347,0.601,0.237,0.555,0.541,0.504,0.222,0.378,0.585,0.126,1.0,0.696,0.478,0.035,0.338,0.106
G2,Health NZ internal allocation game,S1,Capitation reweighting only,41.52,25.64,61.78,82.03,60.12,29.56,44.86,hospital-operations dominance,Management attention shifts upstream when primary and ambulance outcomes have hospital-equivalent salience.,144,0.225,0.731,0.358,0.578,0.448,0.368,0.801,0.522,0.598,0.528,0.783,0.459,0.517,0.48,0.255,0.82,0.0,0.756,0.806,0.526,0.193,0.346,0.321
G1,Hospital-salience budget game,S0,Status quo tight control,31.15,29.42,55.95,75.82,82.28,21.27,38.63,hospital-rescue equilibrium,"Hospital rescue bias falls only when upstream access becomes visible, funded and politically salient.",966,0.152,0.321,0.145,0.736,0.187,0.124,0.986,0.248,0.625,0.384,0.455,0.612,0.422,0.261,0.284,0.568,0.087,0.801,0.785,0.539,0.036,0.24,0.323
G8,Scope-of-practice supply game,S4,"Loose benefits, weak controls",74.99,71.71,64.3,60.45,50.16,44.36,57.92,scope-enabled supply equilibrium,"Funding eligibility should follow safe scope and governance, not professional category alone.",636,1.0,0.647,0.959,0.127,0.817,0.805,0.8,0.413,0.687,0.267,0.474,0.936,0.153,0.116,0.588,0.675,0.0,0.756,0.528,0.179,0.967,0.338,0.291
G8,Scope-of-practice supply game,S0,Status quo tight control,31.79,39.63,60.33,80.16,84.58,14.77,43.24,professional-bottleneck equilibrium,"Funding eligibility should follow safe scope and governance, not professional category alone.",609,0.0,0.364,0.286,0.651,0.38,0.175,0.923,0.334,0.57,0.428,0.541,0.468,0.263,0.271,0.188,0.535,0.05,0.842,0.761,0.624,0.08,0.258,0.252
G10,Co-payment calibration game,S1,Capitation reweighting only,59.25,48.11,77.25,68.68,56.95,10.98,58.66,calibrated co-payment equilibrium,Co-payment can moderate discretionary demand but becomes a delayed-care mechanism without protections.,18,0.077,0.635,0.314,0.526,0.334,0.162,0.966,0.455,0.466,0.505,0.735,0.599,0.388,0.268,0.387,0.756,0.072,0.818,0.748,0.547,0.0,0.426,0.303
G4,Consumer access pathway game,S1,Capitation reweighting only,39.98,44.08,61.7,77.23,76.23,20.27,46.28,delay/ED-substitution equilibrium,"Patients move to lower-cost access when price, wait, travel and trust costs are lower than delay or ED substitution.",149,0.111,0.676,0.445,0.58,0.341,0.322,0.862,0.541,0.623,0.462,0.607,0.649,0.512,0.324,0.202,0.659,0.079,0.837,0.783,0.575,0.223,0.486,0.31
G4,Consumer access pathway game,S1,Capitation reweighting only,45.88,46.11,68.35,74.78,71.17,19.88,50.1,delay/ED-substitution equilibrium,"Patients move to lower-cost access when price, wait, travel and trust costs are lower than delay or ED substitution.",167,0.187,0.795,0.398,0.52,0.351,0.174,0.873,0.387,0.56,0.587,0.706,0.634,0.454,0.398,0.249,0.689,0.106,0.81,0.837,0.632,0.071,0.253,0.384
G3,Capitation marginal-supply game,S3,Full upstream access architecture,86.19,85.34,79.87,65.58,29.2,13.33,76.38,marginal-expansion equilibrium,"Additional contacts expand only when combined public benefit and co-payment exceed marginal cost, admin cost and risk.",687,0.809,0.774,0.928,0.184,0.839,0.723,0.542,0.788,0.461,0.734,0.87,0.691,0.67,0.796,0.766,0.725,0.0,0.521,0.928,0.835,0.88,0.795,0.704
G3,Capitation marginal-supply game,S0,Status quo tight control,21.86,21.7,47.82,91.46,80.99,10.0,37.87,marginal-rationing equilibrium,"Additional contacts expand only when combined public benefit and co-payment exceed marginal cost, admin cost and risk.",14,0.0,0.313,0.306,0.592,0.0,0.173,0.844,0.213,0.731,0.268,0.618,0.543,0.371,0.245,0.268,0.624,0.149,0.869,0.729,0.582,0.0,0.308,0.353
G2,Health NZ internal allocation game,S4,"Loose benefits, weak controls",58.06,57.71,48.55,66.32,43.59,33.85,51.07,hospital-operations dominance,Management attention shifts upstream when primary and ambulance outcomes have hospital-equivalent salience.,569,0.868,0.605,0.932,0.265,0.598,0.624,0.71,0.474,0.62,0.252,0.282,1.0,0.212,0.108,0.373,0.648,0.0,0.746,0.47,0.299,0.817,0.319,0.268
G7,Ambulance conveyance game,S2,Primary Care Benefits Schedule,48.42,50.06,68.54,71.6,77.64,13.86,51.17,ED-conveyance default,"Alternative disposition is stable only when payment, clinical governance, data and follow-up reduce organisational risk.",451,0.738,0.649,0.649,0.112,0.543,0.331,0.751,0.614,0.482,0.608,0.848,0.71,0.557,0.477,0.435,0.587,0.109,0.834,0.804,0.636,0.793,0.501,0.698
G7,Ambulance conveyance game,S3,Full upstream access architecture,70.27,61.25,75.61,73.93,54.38,11.76,64.91,safe alternative-disposition equilibrium,"Alternative disposition is stable only when payment, clinical governance, data and follow-up reduce organisational risk.",248,0.8,0.821,0.818,0.161,0.876,0.951,0.708,0.824,0.425,0.673,0.75,0.586,0.838,0.736,0.713,0.625,0.0,0.61,0.856,0.688,0.766,0.711,0.752
G9,Telehealth/local-supply game,S1,Capitation reweighting only,42.65,38.27,62.82,78.44,72.19,22.03,46.7,telehealth-substitution/fragmentation,Telehealth improves simple access but must be integrated and paired with local in-person capacity.,314,0.0,0.633,0.177,0.548,0.434,0.212,0.858,0.434,0.476,0.506,0.68,0.454,0.464,0.239,0.444,0.642,0.0,0.779,0.753,0.719,0.193,0.377,0.382
G6,ACC/Health NZ cross-funder game,S3,Full upstream access architecture,62.24,73.84,77.5,62.59,47.1,17.53,63.29,whole-of-Crown flow equilibrium,ACC activity funding can stabilise lower-cost capacity; constraining it in isolation risks spillover to Health NZ and patients.,481,0.833,0.908,0.835,0.164,0.79,0.739,0.695,0.808,0.367,0.884,0.808,0.759,0.866,0.815,0.787,0.649,0.022,0.532,0.776,0.865,0.848,0.851,0.917
G2,Health NZ internal allocation game,S0,Status quo tight control,27.63,12.8,45.29,81.56,71.89,30.95,33.05,hospital-operations dominance,Management attention shifts upstream when primary and ambulance outcomes have hospital-equivalent salience.,608,0.0,0.34,0.285,0.588,0.135,0.167,0.801,0.207,0.836,0.409,0.351,0.616,0.371,0.173,0.231,0.686,0.125,0.86,0.749,0.408,0.0,0.382,0.397
G6,ACC/Health NZ cross-funder game,S4,"Loose benefits, weak controls",63.24,74.67,58.24,54.22,49.74,28.27,55.67,whole-of-Crown flow equilibrium,ACC activity funding can stabilise lower-cost capacity; constraining it in isolation risks spillover to Health NZ and patients.,290,1.0,0.659,0.914,0.089,0.605,0.877,0.699,0.414,0.637,0.247,0.52,0.944,0.319,0.264,0.651,0.666,0.0,0.889,0.337,0.299,0.949,0.163,0.217
G12,Equity and trust game,S4,"Loose benefits, weak controls",55.13,71.41,32.15,67.34,59.62,27.46,48.19,transactional-access without trust,"Demand-driven benefits need retained kaupapa Maori, Pacific, rural and locality functions to avoid transactional equity failure.",781,0.757,0.578,0.92,0.005,0.735,0.765,0.676,0.524,0.712,0.319,0.333,0.778,0.268,0.145,0.598,0.735,0.0,0.774,0.468,0.209,0.996,0.121,0.428
