game_id,game_name,scenario_id,scenario_name,access_score,provider_viability,equity_score,fiscal_control,hospital_pressure,gaming_risk,system_welfare,equilibrium_label,mechanism_summary
G3,Capitation marginal-supply game,P1,Capitation reweighting plus access target,25.86,26.19,70.95,88.64,77.36,11.0,44.71,marginal-rationing equilibrium,"Additional contacts expand only when combined public benefit and co-payment exceed marginal cost, admin cost and risk."
G4,Consumer access pathway game,P1,Capitation reweighting plus access target,42.07,43.36,67.35,76.21,73.98,20.38,48.09,delay/ED-substitution equilibrium,"Patients move to lower-cost access when price, wait, travel and trust costs are lower than delay or ED substitution."
G5,PHO intermediation game,P1,Capitation reweighting plus access target,13.11,24.84,65.72,81.4,80.6,23.2,35.79,intermediated-gatekeeping equilibrium,Direct claiming improves entry only if PHO/locality equity and population-health functions are explicitly preserved.
G6,ACC/Health NZ cross-funder game,P1,Capitation reweighting plus access target,38.23,45.13,68.2,68.35,69.28,22.8,46.33,whole-of-Crown flow equilibrium,ACC activity funding can stabilise lower-cost capacity; constraining it in isolation risks spillover to Health NZ and patients.
G7,Ambulance conveyance game,P1,Capitation reweighting plus access target,47.56,49.94,62.82,71.98,80.84,14.0,49.24,ED-conveyance default,"Alternative disposition is stable only when payment, clinical governance, data and follow-up reduce organisational risk."
G8,Scope-of-practice supply game,P1,Capitation reweighting plus access target,35.82,43.39,65.9,80.5,80.24,15.2,46.86,professional-bottleneck equilibrium,"Funding eligibility should follow safe scope and governance, not professional category alone."
G9,Telehealth/local-supply game,P1,Capitation reweighting plus access target,49.71,37.58,62.3,78.7,69.81,25.56,48.18,telehealth-substitution/fragmentation,Telehealth improves simple access but must be integrated and paired with local in-person capacity.
G10,Co-payment calibration game,P1,Capitation reweighting plus access target,57.5,50.5,73.92,71.75,58.62,11.12,58.16,calibrated co-payment equilibrium,Co-payment can moderate discretionary demand but becomes a delayed-care mechanism without protections.
G11,KPI salience game,P1,Capitation reweighting plus access target,51.5,49.25,77.13,80.0,60.67,20.24,56.52,upstream target salience with balancing measures,"Top-tier KPIs shift behaviour only if paired with funding levers, data and balancing measures."
G12,Equity and trust game,P1,Capitation reweighting plus access target,47.17,51.48,64.47,77.8,59.84,16.91,53.24,benefits plus equity-function equilibrium,"Demand-driven benefits need retained kaupapa Maori, Pacific, rural and locality functions to avoid transactional equity failure."
G13,Political economy game,P1,Capitation reweighting plus access target,48.16,50.03,72.42,78.58,62.49,17.48,54.67,access-architecture coalition,Reform becomes feasible when framed as patient access and hospital avoidance rather than sector income or anti-PHO politics.
G14,Data observability game,P1,Capitation reweighting plus access target,38.91,45.47,76.08,79.2,64.98,30.0,49.58,observable upstream-flow equilibrium,"Upstream access failure becomes fundable only when data links it to ambulance, ED and avoidable admission outcomes."
G1,Hospital-salience budget game,P2,National Primary Care Benefits Schedule,61.7,53.86,73.31,66.06,45.37,19.7,59.09,upstream-salience equilibrium,"Hospital rescue bias falls only when upstream access becomes visible, funded and politically salient."
G2,Health NZ internal allocation game,P2,National Primary Care Benefits Schedule,56.64,55.1,63.02,76.26,43.54,26.99,56.42,balanced internal accountability,Management attention shifts upstream when primary and ambulance outcomes have hospital-equivalent salience.
G3,Capitation marginal-supply game,P2,National Primary Care Benefits Schedule,81.42,80.03,75.92,67.43,34.47,14.5,72.61,marginal-expansion equilibrium,"Additional contacts expand only when combined public benefit and co-payment exceed marginal cost, admin cost and risk."
G4,Consumer access pathway game,P2,National Primary Care Benefits Schedule,70.47,64.37,73.57,66.31,53.79,17.47,62.77,early-access equilibrium,"Patients move to lower-cost access when price, wait, travel and trust costs are lower than delay or ED substitution."
G5,PHO intermediation game,P2,National Primary Care Benefits Schedule,64.47,68.12,69.05,74.32,39.64,25.94,62.66,optional/direct-claiming equilibrium,Direct claiming improves entry only if PHO/locality equity and population-health functions are explicitly preserved.
G6,ACC/Health NZ cross-funder game,P2,National Primary Care Benefits Schedule,57.04,67.45,71.55,62.11,54.17,20.2,57.81,whole-of-Crown flow equilibrium,ACC activity funding can stabilise lower-cost capacity; constraining it in isolation risks spillover to Health NZ and patients.
G7,Ambulance conveyance game,P2,National Primary Care Benefits Schedule,56.15,54.87,70.08,72.02,70.15,13.2,55.78,ED-conveyance default,"Alternative disposition is stable only when payment, clinical governance, data and follow-up reduce organisational risk."
G8,Scope-of-practice supply game,P2,National Primary Care Benefits Schedule,68.69,66.88,74.56,73.64,53.03,12.5,65.25,scope-enabled supply equilibrium,"Funding eligibility should follow safe scope and governance, not professional category alone."
G9,Telehealth/local-supply game,P2,National Primary Care Benefits Schedule,68.04,57.71,75.12,76.5,52.92,20.71,62.6,integrated hybrid-access equilibrium,Telehealth improves simple access but must be integrated and paired with local in-person capacity.
G10,Co-payment calibration game,P2,National Primary Care Benefits Schedule,76.61,63.18,81.88,58.66,42.41,15.04,66.75,calibrated co-payment equilibrium,Co-payment can moderate discretionary demand but becomes a delayed-care mechanism without protections.
G11,KPI salience game,P2,National Primary Care Benefits Schedule,68.24,66.92,80.7,75.02,45.69,16.22,67.09,upstream target salience with balancing measures,"Top-tier KPIs shift behaviour only if paired with funding levers, data and balancing measures."
G12,Equity and trust game,P2,National Primary Care Benefits Schedule,71.51,72.19,72.56,73.6,41.69,15.84,67.54,benefits plus equity-function equilibrium,"Demand-driven benefits need retained kaupapa Maori, Pacific, rural and locality functions to avoid transactional equity failure."
G13,Political economy game,P2,National Primary Care Benefits Schedule,67.45,67.7,78.36,76.72,56.04,22.12,64.29,access-architecture coalition,Reform becomes feasible when framed as patient access and hospital avoidance rather than sector income or anti-PHO politics.
G14,Data observability game,P2,National Primary Care Benefits Schedule,65.17,63.75,80.18,76.8,50.38,24.6,63.7,observable upstream-flow equilibrium,"Upstream access failure becomes fundable only when data links it to ambulance, ED and avoidable admission outcomes."
G1,Hospital-salience budget game,P3,Full upstream access architecture,70.84,60.5,82.1,66.76,28.57,15.66,67.99,upstream-salience equilibrium,"Hospital rescue bias falls only when upstream access becomes visible, funded and politically salient."
G2,Health NZ internal allocation game,P3,Full upstream access architecture,68.58,61.5,70.58,77.96,31.54,23.34,65.22,balanced internal accountability,Management attention shifts upstream when primary and ambulance outcomes have hospital-equivalent salience.
G3,Capitation marginal-supply game,P3,Full upstream access architecture,85.54,84.73,83.97,65.93,29.4,12.46,77.18,marginal-expansion equilibrium,"Additional contacts expand only when combined public benefit and co-payment exceed marginal cost, admin cost and risk."
G4,Consumer access pathway game,P3,Full upstream access architecture,80.58,70.19,80.79,64.2,45.9,14.7,69.45,early-access equilibrium,"Patients move to lower-cost access when price, wait, travel and trust costs are lower than delay or ED substitution."
G5,PHO intermediation game,P3,Full upstream access architecture,70.47,72.97,77.58,77.04,33.52,21.55,69.23,optional/direct-claiming equilibrium,Direct claiming improves entry only if PHO/locality equity and population-health functions are explicitly preserved.
G6,ACC/Health NZ cross-funder game,P3,Full upstream access architecture,62.87,74.59,78.7,62.88,46.48,16.64,64.16,whole-of-Crown flow equilibrium,ACC activity funding can stabilise lower-cost capacity; constraining it in isolation risks spillover to Health NZ and patients.
G7,Ambulance conveyance game,P3,Full upstream access architecture,74.34,64.9,80.56,74.29,48.93,11.2,68.73,safe alternative-disposition equilibrium,"Alternative disposition is stable only when payment, clinical governance, data and follow-up reduce organisational risk."
G8,Scope-of-practice supply game,P3,Full upstream access architecture,80.4,76.44,83.91,75.3,39.24,10.16,74.96,scope-enabled supply equilibrium,"Funding eligibility should follow safe scope and governance, not professional category alone."
G9,Telehealth/local-supply game,P3,Full upstream access architecture,77.52,68.51,86.73,76.2,43.13,15.91,71.93,integrated hybrid-access equilibrium,Telehealth improves simple access but must be integrated and paired with local in-person capacity.
G10,Co-payment calibration game,P3,Full upstream access architecture,83.78,63.38,91.17,54.73,36.02,13.96,71.22,calibrated co-payment equilibrium,Co-payment can moderate discretionary demand but becomes a delayed-care mechanism without protections.
G11,KPI salience game,P3,Full upstream access architecture,80.14,74.37,90.37,77.52,33.88,12.71,76.63,upstream target salience with balancing measures,"Top-tier KPIs shift behaviour only if paired with funding levers, data and balancing measures."
G12,Equity and trust game,P3,Full upstream access architecture,79.32,79.35,83.59,75.64,34.88,13.44,75.19,benefits plus equity-function equilibrium,"Demand-driven benefits need retained kaupapa Maori, Pacific, rural and locality functions to avoid transactional equity failure."
G13,Political economy game,P3,Full upstream access architecture,75.79,74.29,87.05,83.2,44.64,17.58,73.31,access-architecture coalition,Reform becomes feasible when framed as patient access and hospital avoidance rather than sector income or anti-PHO politics.
G14,Data observability game,P3,Full upstream access architecture,79.99,75.07,90.2,82.36,30.75,16.0,77.39,observable upstream-flow equilibrium,"Upstream access failure becomes fundable only when data links it to ambulance, ED and avoidable admission outcomes."
G1,Hospital-salience budget game,P4,Benefits without adequate controls,68.6,56.64,58.24,53.56,36.51,33.4,54.73,upstream-salience equilibrium,"Hospital rescue bias falls only when upstream access becomes visible, funded and politically salient."
G2,Health NZ internal allocation game,P4,Benefits without adequate controls,60.98,60.0,53.52,65.56,38.77,35.31,53.67,balanced internal accountability,Management attention shifts upstream when primary and ambulance outcomes have hospital-equivalent salience.
G3,Capitation marginal-supply game,P4,Benefits without adequate controls,88.93,85.85,55.24,56.28,28.32,26.2,67.95,marginal-expansion equilibrium,"Additional contacts expand only when combined public benefit and co-payment exceed marginal cost, admin cost and risk."
G4,Consumer access pathway game,P4,Benefits without adequate controls,59.43,68.11,54.13,64.18,64.31,26.71,52.55,early-access equilibrium,"Patients move to lower-cost access when price, wait, travel and trust costs are lower than delay or ED substitution."
G5,PHO intermediation game,P4,Benefits without adequate controls,75.85,77.34,49.04,66.72,34.97,37.78,60.26,optional/direct-claiming equilibrium,Direct claiming improves entry only if PHO/locality equity and population-health functions are explicitly preserved.
G6,ACC/Health NZ cross-funder game,P4,Benefits without adequate controls,62.04,73.32,58.0,55.9,50.38,27.84,55.33,whole-of-Crown flow equilibrium,ACC activity funding can stabilise lower-cost capacity; constraining it in isolation risks spillover to Health NZ and patients.
G7,Ambulance conveyance game,P4,Benefits without adequate controls,53.25,53.05,58.69,68.58,74.08,22.36,49.32,ED-conveyance default,"Alternative disposition is stable only when payment, clinical governance, data and follow-up reduce organisational risk."
G8,Scope-of-practice supply game,P4,Benefits without adequate controls,67.0,65.03,60.67,63.7,59.25,44.96,52.89,professional-bottleneck equilibrium,"Funding eligibility should follow safe scope and governance, not professional category alone."
G9,Telehealth/local-supply game,P4,Benefits without adequate controls,67.01,40.74,51.79,77.66,63.96,36.79,49.89,telehealth-substitution/fragmentation,Telehealth improves simple access but must be integrated and paired with local in-person capacity.
G10,Co-payment calibration game,P4,Benefits without adequate controls,66.65,71.9,56.55,57.49,52.01,28.14,56.05,price-rationing equity failure,Co-payment can moderate discretionary demand but becomes a delayed-care mechanism without protections.
G11,KPI salience game,P4,Benefits without adequate controls,73.63,72.32,70.2,65.76,45.24,35.61,62.17,upstream target salience with balancing measures,"Top-tier KPIs shift behaviour only if paired with funding levers, data and balancing measures."
G12,Equity and trust game,P4,Benefits without adequate controls,64.3,75.3,41.89,66.04,51.54,25.22,54.9,transactional-access without trust,"Demand-driven benefits need retained kaupapa Maori, Pacific, rural and locality functions to avoid transactional equity failure."
G13,Political economy game,P4,Benefits without adequate controls,60.58,63.92,60.73,61.69,75.02,56.27,46.3,institutional-defence equilibrium,Reform becomes feasible when framed as patient access and hospital avoidance rather than sector income or anti-PHO politics.
G14,Data observability game,P4,Benefits without adequate controls,64.45,63.83,63.76,64.36,60.96,40.0,53.41,hidden-unmet-need equilibrium,"Upstream access failure becomes fundable only when data links it to ambulance, ED and avoidable admission outcomes."
G1,Hospital-salience budget game,P5,ACC activity constraint shock,36.1,28.48,63.27,81.0,70.83,18.3,44.52,hospital-rescue equilibrium,"Hospital rescue bias falls only when upstream access becomes visible, funded and politically salient."
G2,Health NZ internal allocation game,P5,ACC activity constraint shock,37.39,15.95,55.74,84.8,63.64,29.48,40.65,hospital-operations dominance,Management attention shifts upstream when primary and ambulance outcomes have hospital-equivalent salience.
G3,Capitation marginal-supply game,P5,ACC activity constraint shock,22.79,22.49,55.81,89.55,80.2,10.8,39.66,marginal-rationing equilibrium,"Additional contacts expand only when combined public benefit and co-payment exceed marginal cost, admin cost and risk."
G4,Consumer access pathway game,P5,ACC activity constraint shock,38.36,42.56,62.14,77.75,77.19,20.38,45.59,delay/ED-substitution equilibrium,"Patients move to lower-cost access when price, wait, travel and trust costs are lower than delay or ED substitution."
G5,PHO intermediation game,P5,ACC activity constraint shock,12.71,24.54,58.42,79.6,82.39,25.0,33.12,intermediated-gatekeeping equilibrium,Direct claiming improves entry only if PHO/locality equity and population-health functions are explicitly preserved.
G6,ACC/Health NZ cross-funder game,P5,ACC activity constraint shock,17.44,19.71,63.25,73.09,89.73,24.3,32.57,siloed-cost-shifting equilibrium,ACC activity funding can stabilise lower-cost capacity; constraining it in isolation risks spillover to Health NZ and patients.
G7,Ambulance conveyance game,P5,ACC activity constraint shock,41.46,45.31,59.45,70.78,84.35,15.5,44.99,ED-conveyance default,"Alternative disposition is stable only when payment, clinical governance, data and follow-up reduce organisational risk."
G8,Scope-of-practice supply game,P5,ACC activity constraint shock,35.34,42.95,62.8,79.6,80.6,15.2,45.75,professional-bottleneck equilibrium,"Funding eligibility should follow safe scope and governance, not professional category alone."
G9,Telehealth/local-supply game,P5,ACC activity constraint shock,48.03,37.36,60.01,78.7,71.3,26.5,46.79,telehealth-substitution/fragmentation,Telehealth improves simple access but must be integrated and paired with local in-person capacity.
G10,Co-payment calibration game,P5,ACC activity constraint shock,53.79,51.12,67.12,73.86,61.99,10.9,55.68,price-rationing equity failure,Co-payment can moderate discretionary demand but becomes a delayed-care mechanism without protections.
G11,KPI salience game,P5,ACC activity constraint shock,44.35,45.38,70.19,78.44,66.89,17.7,51.6,hospital-target dominance,"Top-tier KPIs shift behaviour only if paired with funding levers, data and balancing measures."
G12,Equity and trust game,P5,ACC activity constraint shock,43.46,49.5,56.93,76.5,63.37,18.84,49.11,benefits plus equity-function equilibrium,"Demand-driven benefits need retained kaupapa Maori, Pacific, rural and locality functions to avoid transactional equity failure."
G13,Political economy game,P5,ACC activity constraint shock,41.92,45.45,65.19,76.65,68.0,17.71,49.35,institutional-defence equilibrium,Reform becomes feasible when framed as patient access and hospital avoidance rather than sector income or anti-PHO politics.
G14,Data observability game,P5,ACC activity constraint shock,32.66,40.68,68.6,75.65,76.16,34.5,42.3,hidden-unmet-need equilibrium,"Upstream access failure becomes fundable only when data links it to ambulance, ED and avoidable admission outcomes."
G1,Hospital-salience budget game,P6,Ambulance alternatives only,41.1,31.13,64.89,83.94,63.68,16.43,48.62,hospital-rescue equilibrium,"Hospital rescue bias falls only when upstream access becomes visible, funded and politically salient."
G2,Health NZ internal allocation game,P6,Ambulance alternatives only,43.82,17.25,57.93,87.94,53.66,26.59,45.65,hospital-operations dominance,Management attention shifts upstream when primary and ambulance outcomes have hospital-equivalent salience.
G3,Capitation marginal-supply game,P6,Ambulance alternatives only,23.45,23.36,55.81,90.76,75.71,10.62,40.87,marginal-rationing equilibrium,"Additional contacts expand only when combined public benefit and co-payment exceed marginal cost, admin cost and risk."
G4,Consumer access pathway game,P6,Ambulance alternatives only,42.87,44.97,62.14,78.95,74.19,18.57,48.25,delay/ED-substitution equilibrium,"Patients move to lower-cost access when price, wait, travel and trust costs are lower than delay or ED substitution."
G5,PHO intermediation game,P6,Ambulance alternatives only,13.11,24.84,62.57,82.84,81.28,22.81,35.33,intermediated-gatekeeping equilibrium,Direct claiming improves entry only if PHO/locality equity and population-health functions are explicitly preserved.
G6,ACC/Health NZ cross-funder game,P6,Ambulance alternatives only,36.04,42.58,64.95,68.65,67.18,20.8,45.25,whole-of-Crown flow equilibrium,ACC activity funding can stabilise lower-cost capacity; constraining it in isolation risks spillover to Health NZ and patients.
G7,Ambulance conveyance game,P6,Ambulance alternatives only,63.58,61.7,67.48,70.94,55.35,13.8,60.29,safe alternative-disposition equilibrium,"Alternative disposition is stable only when payment, clinical governance, data and follow-up reduce organisational risk."
G8,Scope-of-practice supply game,P6,Ambulance alternatives only,37.44,44.73,63.72,82.46,78.04,12.5,48.22,professional-bottleneck equilibrium,"Funding eligibility should follow safe scope and governance, not professional category alone."
G9,Telehealth/local-supply game,P6,Ambulance alternatives only,49.89,37.58,60.56,80.2,69.64,23.63,48.49,telehealth-substitution/fragmentation,Telehealth improves simple access but must be integrated and paired with local in-person capacity.
G10,Co-payment calibration game,P6,Ambulance alternatives only,54.23,51.6,67.12,75.08,61.63,10.7,56.2,price-rationing equity failure,Co-payment can moderate discretionary demand but becomes a delayed-care mechanism without protections.
G11,KPI salience game,P6,Ambulance alternatives only,52.14,49.57,73.87,81.74,59.1,15.76,57.37,upstream target salience with balancing measures,"Top-tier KPIs shift behaviour only if paired with funding levers, data and balancing measures."
G12,Equity and trust game,P6,Ambulance alternatives only,45.72,50.73,60.86,79.2,61.3,16.73,51.98,benefits plus equity-function equilibrium,"Demand-driven benefits need retained kaupapa Maori, Pacific, rural and locality functions to avoid transactional equity failure."
G13,Political economy game,P6,Ambulance alternatives only,49.77,51.17,70.47,80.75,60.87,16.78,55.64,access-architecture coalition,Reform becomes feasible when framed as patient access and hospital avoidance rather than sector income or anti-PHO politics.
G14,Data observability game,P6,Ambulance alternatives only,40.26,46.47,73.02,81.5,63.01,26.4,50.8,observable upstream-flow equilibrium,"Upstream access failure becomes fundable only when data links it to ambulance, ED and avoidable admission outcomes."
G1,Hospital-salience budget game,P7,Scope-enabled provider supply only,47.8,39.05,67.4,73.8,58.68,19.8,50.75,hospital-rescue equilibrium,"Hospital rescue bias falls only when upstream access becomes visible, funded and politically salient."
G2,Health NZ internal allocation game,P7,Scope-enabled provider supply only,46.54,33.05,57.09,80.6,54.69,28.76,47.22,hospital-operations dominance,Management attention shifts upstream when primary and ambulance outcomes have hospital-equivalent salience.
G3,Capitation marginal-supply game,P7,Scope-enabled provider supply only,43.31,42.15,60.43,79.28,64.39,13.8,49.78,marginal-rationing equilibrium,"Additional contacts expand only when combined public benefit and co-payment exceed marginal cost, admin cost and risk."
G4,Consumer access pathway game,P7,Scope-enabled provider supply only,53.93,53.2,65.85,71.9,66.01,20.38,53.2,delay/ED-substitution equilibrium,"Patients move to lower-cost access when price, wait, travel and trust costs are lower than delay or ED substitution."
G5,PHO intermediation game,P7,Scope-enabled provider supply only,39.82,47.31,61.77,76.6,60.35,26.4,47.84,optional/direct-claiming equilibrium,Direct claiming improves entry only if PHO/locality equity and population-health functions are explicitly preserved.
G6,ACC/Health NZ cross-funder game,P7,Scope-enabled provider supply only,44.63,52.71,67.0,64.99,64.79,22.8,49.25,whole-of-Crown flow equilibrium,ACC activity funding can stabilise lower-cost capacity; constraining it in isolation risks spillover to Health NZ and patients.
G7,Ambulance conveyance game,P7,Scope-enabled provider supply only,47.14,50.55,60.79,72.18,79.51,14.0,49.01,ED-conveyance default,"Alternative disposition is stable only when payment, clinical governance, data and follow-up reduce organisational risk."
G8,Scope-of-practice supply game,P7,Scope-enabled provider supply only,65.03,65.62,75.32,76.3,49.03,15.2,64.72,scope-enabled supply equilibrium,"Funding eligibility should follow safe scope and governance, not professional category alone."
G9,Telehealth/local-supply game,P7,Scope-enabled provider supply only,56.37,40.66,60.5,78.7,65.43,25.56,50.82,telehealth-substitution/fragmentation,Telehealth improves simple access but must be integrated and paired with local in-person capacity.
G10,Co-payment calibration game,P7,Scope-enabled provider supply only,64.14,58.32,72.16,68.46,53.14,14.26,60.65,calibrated co-payment equilibrium,Co-payment can moderate discretionary demand but becomes a delayed-care mechanism without protections.
G11,KPI salience game,P7,Scope-enabled provider supply only,55.24,55.32,73.84,76.64,57.69,19.07,57.96,upstream target salience with balancing measures,"Top-tier KPIs shift behaviour only if paired with funding levers, data and balancing measures."
G12,Equity and trust game,P7,Scope-enabled provider supply only,55.3,66.1,61.41,75.0,54.65,18.04,57.49,benefits plus equity-function equilibrium,"Demand-driven benefits need retained kaupapa Maori, Pacific, rural and locality functions to avoid transactional equity failure."
G13,Political economy game,P7,Scope-enabled provider supply only,56.03,57.41,72.05,75.55,61.98,22.92,56.67,access-architecture coalition,Reform becomes feasible when framed as patient access and hospital avoidance rather than sector income or anti-PHO politics.
G14,Data observability game,P7,Scope-enabled provider supply only,49.03,51.98,74.0,76.4,61.88,30.0,53.05,observable upstream-flow equilibrium,"Upstream access failure becomes fundable only when data links it to ambulance, ED and avoidable admission outcomes."
G1,Hospital-salience budget game,P8,Direct claims and PHO intermediation reform only,39.7,33.03,63.78,80.64,65.73,17.2,47.31,hospital-rescue equilibrium,"Hospital rescue bias falls only when upstream access becomes visible, funded and politically salient."
G2,Health NZ internal allocation game,P8,Direct claims and PHO intermediation reform only,41.42,32.3,56.42,85.64,59.36,26.58,46.14,hospital-operations dominance,Management attention shifts upstream when primary and ambulance outcomes have hospital-equivalent salience.
G3,Capitation marginal-supply game,P8,Direct claims and PHO intermediation reform only,30.72,30.24,55.81,86.92,73.74,11.4,43.59,marginal-rationing equilibrium,"Additional contacts expand only when combined public benefit and co-payment exceed marginal cost, admin cost and risk."
G4,Consumer access pathway game,P8,Direct claims and PHO intermediation reform only,41.2,46.04,62.14,77.15,75.3,18.93,47.43,delay/ED-substitution equilibrium,"Patients move to lower-cost access when price, wait, travel and trust costs are lower than delay or ED substitution."
G5,PHO intermediation game,P8,Direct claims and PHO intermediation reform only,55.2,61.13,61.05,73.36,45.71,27.15,55.81,optional/direct-claiming equilibrium,Direct claiming improves entry only if PHO/locality equity and population-health functions are explicitly preserved.
G6,ACC/Health NZ cross-funder game,P8,Direct claims and PHO intermediation reform only,44.17,52.16,64.95,67.45,65.15,21.16,49.26,whole-of-Crown flow equilibrium,ACC activity funding can stabilise lower-cost capacity; constraining it in isolation risks spillover to Health NZ and patients.
G7,Ambulance conveyance game,P8,Direct claims and PHO intermediation reform only,44.52,50.23,60.59,72.28,80.21,13.8,48.13,ED-conveyance default,"Alternative disposition is stable only when payment, clinical governance, data and follow-up reduce organisational risk."
G8,Scope-of-practice supply game,P8,Direct claims and PHO intermediation reform only,45.12,46.2,63.22,80.6,77.44,13.04,50.18,professional-bottleneck equilibrium,"Funding eligibility should follow safe scope and governance, not professional category alone."
G9,Telehealth/local-supply game,P8,Direct claims and PHO intermediation reform only,51.51,38.68,60.56,79.9,68.48,23.99,49.18,telehealth-substitution/fragmentation,Telehealth improves simple access but must be integrated and paired with local in-person capacity.
G10,Co-payment calibration game,P8,Direct claims and PHO intermediation reform only,56.43,54.0,67.12,72.96,59.83,11.57,56.96,price-rationing equity failure,Co-payment can moderate discretionary demand but becomes a delayed-care mechanism without protections.
G11,KPI salience game,P8,Direct claims and PHO intermediation reform only,47.74,48.87,70.57,80.24,63.33,14.48,54.66,hospital-target dominance,"Top-tier KPIs shift behaviour only if paired with funding levers, data and balancing measures."
G12,Equity and trust game,P8,Direct claims and PHO intermediation reform only,46.55,52.35,55.63,77.96,61.84,19.84,50.5,benefits plus equity-function equilibrium,"Demand-driven benefits need retained kaupapa Maori, Pacific, rural and locality functions to avoid transactional equity failure."
G13,Political economy game,P8,Direct claims and PHO intermediation reform only,49.93,51.92,69.03,75.28,70.2,23.3,52.04,access-architecture coalition,Reform becomes feasible when framed as patient access and hospital avoidance rather than sector income or anti-PHO politics.
G14,Data observability game,P8,Direct claims and PHO intermediation reform only,48.09,46.35,73.02,80.14,64.87,27.0,52.36,observable upstream-flow equilibrium,"Upstream access failure becomes fundable only when data links it to ambulance, ED and avoidable admission outcomes."
