game_id,game_name,scenario_id,scenario_name,access_score,provider_viability,equity_score,fiscal_control,hospital_pressure,gaming_risk,system_welfare,equilibrium_label,mechanism_summary
G2,Health NZ internal allocation game,S1,Capitation reweighting only,35.86,19.35,57.93,84.0,64.43,29.12,41.13,hospital-operations dominance,Management attention shifts upstream when primary and ambulance outcomes have hospital-equivalent salience.
G3,Capitation marginal-supply game,S1,Capitation reweighting only,26.49,26.79,67.81,88.05,77.29,11.2,44.17,marginal-rationing equilibrium,"Additional contacts expand only when combined public benefit and co-payment exceed marginal cost, admin cost and risk."
G4,Consumer access pathway game,S1,Capitation reweighting only,40.18,43.46,65.46,76.49,75.59,20.4,46.99,delay/ED-substitution equilibrium,"Patients move to lower-cost access when price, wait, travel and trust costs are lower than delay or ED substitution."
G5,PHO intermediation game,S1,Capitation reweighting only,13.51,25.14,62.59,79.6,81.08,25.0,34.55,intermediated-gatekeeping equilibrium,Direct claiming improves entry only if PHO/locality equity and population-health functions are explicitly preserved.
G6,ACC/Health NZ cross-funder game,S1,Capitation reweighting only,36.98,43.57,65.25,66.53,71.16,24.3,44.19,whole-of-Crown flow equilibrium,ACC activity funding can stabilise lower-cost capacity; constraining it in isolation risks spillover to Health NZ and patients.
G7,Ambulance conveyance game,S1,Capitation reweighting only,40.46,47.53,61.84,70.48,84.76,15.5,45.52,ED-conveyance default,"Alternative disposition is stable only when payment, clinical governance, data and follow-up reduce organisational risk."
G8,Scope-of-practice supply game,S1,Capitation reweighting only,34.73,42.52,63.9,79.0,82.02,15.2,45.44,professional-bottleneck equilibrium,"Funding eligibility should follow safe scope and governance, not professional category alone."
G9,Telehealth/local-supply game,S1,Capitation reweighting only,47.68,38.3,61.48,77.8,71.27,26.57,47.01,telehealth-substitution/fragmentation,Telehealth improves simple access but must be integrated and paired with local in-person capacity.
G10,Co-payment calibration game,S1,Capitation reweighting only,56.34,50.98,71.36,71.39,59.74,11.34,57.09,price-rationing equity failure,Co-payment can moderate discretionary demand but becomes a delayed-care mechanism without protections.
G11,KPI salience game,S1,Capitation reweighting only,40.94,44.27,70.45,77.96,69.79,15.46,50.41,hospital-target dominance,"Top-tier KPIs shift behaviour only if paired with funding levers, data and balancing measures."
G12,Equity and trust game,S1,Capitation reweighting only,46.97,50.42,62.29,76.1,60.24,18.74,51.82,benefits plus equity-function equilibrium,"Demand-driven benefits need retained kaupapa Maori, Pacific, rural and locality functions to avoid transactional equity failure."
G13,Political economy game,S1,Capitation reweighting only,45.78,48.45,69.31,76.52,65.05,17.94,52.22,institutional-defence equilibrium,Reform becomes feasible when framed as patient access and hospital avoidance rather than sector income or anti-PHO politics.
G14,Data observability game,S1,Capitation reweighting only,32.47,40.91,71.0,75.25,76.56,34.5,42.69,hidden-unmet-need equilibrium,"Upstream access failure becomes fundable only when data links it to ambulance, ED and avoidable admission outcomes."
G1,Hospital-salience budget game,S2,Primary Care Benefits Schedule,57.4,52.4,69.9,65.2,46.3,21.25,56.31,upstream-salience equilibrium,"Hospital rescue bias falls only when upstream access becomes visible, funded and politically salient."
G2,Health NZ internal allocation game,S2,Primary Care Benefits Schedule,53.65,54.5,60.58,75.2,46.4,27.77,54.2,hospital-operations dominance,Management attention shifts upstream when primary and ambulance outcomes have hospital-equivalent salience.
G3,Capitation marginal-supply game,S2,Primary Care Benefits Schedule,80.08,78.92,73.01,67.51,35.86,15.25,71.08,marginal-expansion equilibrium,"Additional contacts expand only when combined public benefit and co-payment exceed marginal cost, admin cost and risk."
G4,Consumer access pathway game,S2,Primary Care Benefits Schedule,66.99,62.73,71.89,66.45,56.31,18.53,60.61,early-access equilibrium,"Patients move to lower-cost access when price, wait, travel and trust costs are lower than delay or ED substitution."
G5,PHO intermediation game,S2,Primary Care Benefits Schedule,63.26,67.09,65.89,73.2,41.29,27.6,60.71,optional/direct-claiming equilibrium,Direct claiming improves entry only if PHO/locality equity and population-health functions are explicitly preserved.
G6,ACC/Health NZ cross-funder game,S2,Primary Care Benefits Schedule,55.12,65.12,69.0,61.82,56.26,21.6,55.7,whole-of-Crown flow equilibrium,ACC activity funding can stabilise lower-cost capacity; constraining it in isolation risks spillover to Health NZ and patients.
G7,Ambulance conveyance game,S2,Primary Care Benefits Schedule,50.64,52.14,67.1,71.11,74.77,14.0,52.14,ED-conveyance default,"Alternative disposition is stable only when payment, clinical governance, data and follow-up reduce organisational risk."
G8,Scope-of-practice supply game,S2,Primary Care Benefits Schedule,64.1,63.15,70.8,72.7,58.75,13.4,61.34,professional-bottleneck equilibrium,"Funding eligibility should follow safe scope and governance, not professional category alone."
G9,Telehealth/local-supply game,S2,Primary Care Benefits Schedule,65.07,54.05,70.81,76.7,56.31,22.77,59.35,integrated hybrid-access equilibrium,Telehealth improves simple access but must be integrated and paired with local in-person capacity.
G10,Co-payment calibration game,S2,Primary Care Benefits Schedule,75.23,62.7,79.62,58.5,43.63,15.88,65.43,calibrated co-payment equilibrium,Co-payment can moderate discretionary demand but becomes a delayed-care mechanism without protections.
G11,KPI salience game,S2,Primary Care Benefits Schedule,62.28,63.64,76.24,73.8,51.34,16.3,62.83,upstream target salience with balancing measures,"Top-tier KPIs shift behaviour only if paired with funding levers, data and balancing measures."
G12,Equity and trust game,S2,Primary Care Benefits Schedule,69.1,69.41,68.42,72.6,43.95,17.25,64.7,benefits plus equity-function equilibrium,"Demand-driven benefits need retained kaupapa Maori, Pacific, rural and locality functions to avoid transactional equity failure."
G13,Political economy game,S2,Primary Care Benefits Schedule,64.4,65.4,75.0,74.2,60.32,24.64,60.78,access-architecture coalition,Reform becomes feasible when framed as patient access and hospital avoidance rather than sector income or anti-PHO politics.
G14,Data observability game,S2,Primary Care Benefits Schedule,59.74,59.75,76.4,74.4,57.94,28.0,58.53,observable upstream-flow equilibrium,"Upstream access failure becomes fundable only when data links it to ambulance, ED and avoidable admission outcomes."
G1,Hospital-salience budget game,S3,Full upstream access architecture,69.3,59.12,80.62,66.7,30.76,16.5,66.51,upstream-salience equilibrium,"Hospital rescue bias falls only when upstream access becomes visible, funded and politically salient."
G2,Health NZ internal allocation game,S3,Full upstream access architecture,66.8,59.75,69.16,77.7,33.48,24.1,63.64,balanced internal accountability,Management attention shifts upstream when primary and ambulance outcomes have hospital-equivalent salience.
G3,Capitation marginal-supply game,S3,Full upstream access architecture,84.41,83.42,82.49,66.23,30.64,13.0,76.09,marginal-expansion equilibrium,"Additional contacts expand only when combined public benefit and co-payment exceed marginal cost, admin cost and risk."
G4,Consumer access pathway game,S3,Full upstream access architecture,79.59,69.21,80.05,64.3,46.62,15.2,68.67,early-access equilibrium,"Patients move to lower-cost access when price, wait, travel and trust costs are lower than delay or ED substitution."
G5,PHO intermediation game,S3,Full upstream access architecture,68.41,71.24,75.92,76.8,35.5,22.35,67.51,optional/direct-claiming equilibrium,Direct claiming improves entry only if PHO/locality equity and population-health functions are explicitly preserved.
G6,ACC/Health NZ cross-funder game,S3,Full upstream access architecture,62.42,74.09,77.5,62.65,47.06,17.3,63.44,whole-of-Crown flow equilibrium,ACC activity funding can stabilise lower-cost capacity; constraining it in isolation risks spillover to Health NZ and patients.
G7,Ambulance conveyance game,S3,Full upstream access architecture,70.77,62.69,78.58,73.93,53.2,11.5,66.18,safe alternative-disposition equilibrium,"Alternative disposition is stable only when payment, clinical governance, data and follow-up reduce organisational risk."
G8,Scope-of-practice supply game,S3,Full upstream access architecture,78.24,74.8,82.28,75.0,41.56,10.7,73.23,scope-enabled supply equilibrium,"Funding eligibility should follow safe scope and governance, not professional category alone."
G9,Telehealth/local-supply game,S3,Full upstream access architecture,76.38,67.29,85.3,76.1,44.27,16.62,70.77,integrated hybrid-access equilibrium,Telehealth improves simple access but must be integrated and paired with local in-person capacity.
G10,Co-payment calibration game,S3,Full upstream access architecture,83.05,62.9,90.18,54.77,36.65,14.56,70.52,calibrated co-payment equilibrium,Co-payment can moderate discretionary demand but becomes a delayed-care mechanism without protections.
G11,KPI salience game,S3,Full upstream access architecture,78.23,73.11,88.72,77.1,35.87,13.77,74.96,upstream target salience with balancing measures,"Top-tier KPIs shift behaviour only if paired with funding levers, data and balancing measures."
G12,Equity and trust game,S3,Full upstream access architecture,77.88,78.15,81.7,75.3,36.12,13.8,73.86,benefits plus equity-function equilibrium,"Demand-driven benefits need retained kaupapa Maori, Pacific, rural and locality functions to avoid transactional equity failure."
G13,Political economy game,S3,Full upstream access architecture,74.3,73.1,85.5,82.08,46.59,18.24,71.74,access-architecture coalition,Reform becomes feasible when framed as patient access and hospital avoidance rather than sector income or anti-PHO politics.
G14,Data observability game,S3,Full upstream access architecture,77.17,73.07,88.5,81.45,33.97,17.5,74.99,observable upstream-flow equilibrium,"Upstream access failure becomes fundable only when data links it to ambulance, ED and avoidable admission outcomes."
G1,Hospital-salience budget game,S4,"Loose benefits, weak controls",68.6,56.25,57.25,52.9,36.83,34.38,54.11,upstream-salience equilibrium,"Hospital rescue bias falls only when upstream access becomes visible, funded and politically salient."
G2,Health NZ internal allocation game,S4,"Loose benefits, weak controls",60.65,59.75,52.8,64.9,39.22,36.05,53.06,balanced internal accountability,Management attention shifts upstream when primary and ambulance outcomes have hospital-equivalent salience.
G3,Capitation marginal-supply game,S4,"Loose benefits, weak controls",88.88,85.65,53.81,55.92,28.52,26.88,67.38,marginal-expansion equilibrium,"Additional contacts expand only when combined public benefit and co-payment exceed marginal cost, admin cost and risk."
G4,Consumer access pathway game,S4,"Loose benefits, weak controls",57.93,67.7,53.29,64.08,65.42,27.3,51.59,early-access equilibrium,"Patients move to lower-cost access when price, wait, travel and trust costs are lower than delay or ED substitution."
G5,PHO intermediation game,S4,"Loose benefits, weak controls",76.71,78.04,47.18,66.0,34.63,38.85,59.94,optional/direct-claiming equilibrium,Direct claiming improves entry only if PHO/locality equity and population-health functions are explicitly preserved.
G6,ACC/Health NZ cross-funder game,S4,"Loose benefits, weak controls",61.0,72.06,57.0,56.2,51.44,28.5,54.38,whole-of-Crown flow equilibrium,ACC activity funding can stabilise lower-cost capacity; constraining it in isolation risks spillover to Health NZ and patients.
G7,Ambulance conveyance game,S4,"Loose benefits, weak controls",52.27,51.84,57.43,68.31,75.4,22.85,48.23,ED-conveyance default,"Alternative disposition is stable only when payment, clinical governance, data and follow-up reduce organisational risk."
G8,Scope-of-practice supply game,S4,"Loose benefits, weak controls",66.32,64.4,59.64,63.1,60.28,46.5,51.83,professional-bottleneck equilibrium,"Funding eligibility should follow safe scope and governance, not professional category alone."
G9,Telehealth/local-supply game,S4,"Loose benefits, weak controls",65.35,38.58,49.21,77.7,65.96,38.09,47.96,telehealth-substitution/fragmentation,Telehealth improves simple access but must be integrated and paired with local in-person capacity.
G10,Co-payment calibration game,S4,"Loose benefits, weak controls",66.11,71.9,55.42,57.17,52.51,28.9,55.38,price-rationing equity failure,Co-payment can moderate discretionary demand but becomes a delayed-care mechanism without protections.
G11,KPI salience game,S4,"Loose benefits, weak controls",73.5,72.25,69.45,65.1,45.68,37.06,61.52,upstream target salience with balancing measures,"Top-tier KPIs shift behaviour only if paired with funding levers, data and balancing measures."
G12,Equity and trust game,S4,"Loose benefits, weak controls",62.96,74.84,38.86,65.5,52.97,26.38,53.28,transactional-access without trust,"Demand-driven benefits need retained kaupapa Maori, Pacific, rural and locality functions to avoid transactional equity failure."
G13,Political economy game,S4,"Loose benefits, weak controls",59.09,62.86,59.06,59.98,78.09,61.31,43.68,institutional-defence equilibrium,Reform becomes feasible when framed as patient access and hospital avoidance rather than sector income or anti-PHO politics.
G14,Data observability game,S4,"Loose benefits, weak controls",63.66,63.16,62.3,63.25,62.92,41.5,52.01,hidden-unmet-need equilibrium,"Upstream access failure becomes fundable only when data links it to ambulance, ED and avoidable admission outcomes."
