scenario_id,scenario_name,funding_architecture,weighted_access,weighted_provider_viability,weighted_equity,weighted_fiscal_control,weighted_hospital_pressure,weighted_gaming_risk,weighted_welfare,supply_generation_index,equity_legitimacy_index,governance_resilience_index,hospital_deflection_index,implementation_readiness_index,fiscal_gaming_risk_index,interaction_penalty,hybrid_viability_score,model_interpretation,draw
S0,Status quo tight control,constrained capitation/contracting equilibrium,35.13,39.12,56.86,75.63,76.41,20.63,42.59,19.0,38.64,57.77,22.73,41.45,15.79,16.96,17.84,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,38
S0,Status quo tight control,constrained capitation/contracting equilibrium,33.72,37.22,55.46,74.99,76.37,22.25,41.14,18.31,36.71,54.6,23.07,41.65,16.99,17.4,16.29,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,39
S0,Status quo tight control,constrained capitation/contracting equilibrium,29.91,34.05,54.94,78.25,79.73,20.43,39.84,11.87,36.46,56.15,19.67,39.3,16.27,19.09,12.23,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,40
S0,Status quo tight control,constrained capitation/contracting equilibrium,30.69,34.02,57.65,75.51,80.0,22.47,39.75,13.08,39.32,54.43,18.2,38.84,16.21,17.7,13.68,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,41
S0,Status quo tight control,constrained capitation/contracting equilibrium,29.92,33.87,54.15,77.13,79.42,21.25,39.33,13.88,35.49,53.96,20.81,38.85,17.23,17.77,13.58,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,42
S0,Status quo tight control,constrained capitation/contracting equilibrium,30.13,34.29,53.29,75.87,79.51,21.99,38.9,12.91,34.08,53.37,22.23,39.65,17.21,18.36,12.79,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,43
S0,Status quo tight control,constrained capitation/contracting equilibrium,32.89,36.61,57.67,76.19,77.81,21.48,41.44,17.71,39.4,53.58,19.9,39.04,18.26,17.83,14.93,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,44
S0,Status quo tight control,constrained capitation/contracting equilibrium,32.72,36.3,57.32,74.0,77.9,22.48,40.68,14.35,39.59,54.1,20.16,41.21,15.66,16.73,15.68,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,45
S0,Status quo tight control,constrained capitation/contracting equilibrium,32.22,35.0,58.52,77.28,77.58,21.09,41.45,14.63,41.05,55.52,21.57,39.32,16.1,16.61,16.51,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,46
S0,Status quo tight control,constrained capitation/contracting equilibrium,33.96,37.27,54.3,76.33,76.92,21.33,41.3,19.47,36.07,55.45,21.82,37.51,16.93,17.05,16.18,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,47
S0,Status quo tight control,constrained capitation/contracting equilibrium,37.56,39.68,60.32,74.91,72.82,20.8,44.47,21.24,41.64,57.53,27.28,42.17,14.68,14.3,22.65,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,48
S0,Status quo tight control,constrained capitation/contracting equilibrium,35.66,38.09,56.27,72.55,76.06,22.7,41.55,18.58,36.5,52.79,21.11,37.37,15.67,15.58,16.75,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,49
S0,Status quo tight control,constrained capitation/contracting equilibrium,30.32,34.79,59.09,76.73,79.77,21.4,40.54,13.01,40.62,54.09,17.76,42.01,16.98,18.41,13.42,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,50
S0,Status quo tight control,constrained capitation/contracting equilibrium,32.49,34.88,60.53,77.52,77.21,20.49,42.15,14.69,41.85,57.13,23.56,41.93,12.8,15.31,19.1,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,51
S0,Status quo tight control,constrained capitation/contracting equilibrium,30.57,33.89,56.72,78.1,79.43,20.42,40.4,14.03,38.42,58.57,19.46,39.81,15.08,17.32,15.44,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,52
S0,Status quo tight control,constrained capitation/contracting equilibrium,31.95,35.84,56.76,75.34,77.54,20.97,40.82,15.47,38.11,54.04,22.18,39.7,14.2,15.52,17.13,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,53
S0,Status quo tight control,constrained capitation/contracting equilibrium,31.23,33.61,57.66,77.1,77.8,20.46,40.78,12.25,39.56,53.85,22.9,36.2,13.1,15.14,16.63,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,54
S0,Status quo tight control,constrained capitation/contracting equilibrium,33.77,36.37,61.93,73.71,77.03,22.63,42.03,16.93,43.43,52.54,23.49,40.36,15.59,15.85,18.17,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,55
S0,Status quo tight control,constrained capitation/contracting equilibrium,33.8,37.85,58.39,76.03,76.38,20.95,42.34,17.6,40.79,54.23,22.3,38.72,16.94,16.13,17.48,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,56
S0,Status quo tight control,constrained capitation/contracting equilibrium,31.22,34.47,59.3,75.87,79.12,22.17,40.58,14.48,40.32,54.51,19.77,41.73,15.56,16.05,16.59,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,57
S0,Status quo tight control,constrained capitation/contracting equilibrium,32.22,36.49,56.07,75.69,78.45,21.88,40.63,17.67,37.47,54.38,20.28,40.51,16.86,17.94,14.91,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,58
S0,Status quo tight control,constrained capitation/contracting equilibrium,31.05,35.46,51.94,78.1,79.4,20.67,39.72,15.5,32.79,57.84,20.05,43.29,17.38,19.23,13.31,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,59
S0,Status quo tight control,constrained capitation/contracting equilibrium,31.64,35.38,57.28,77.25,78.34,21.24,40.94,15.2,38.77,54.49,23.68,36.54,16.21,16.99,15.73,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,60
S0,Status quo tight control,constrained capitation/contracting equilibrium,29.59,34.21,52.14,76.98,80.07,21.28,38.73,12.26,33.53,53.66,19.25,37.0,17.2,19.47,10.48,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,61
S0,Status quo tight control,constrained capitation/contracting equilibrium,32.22,35.04,57.45,78.01,77.51,20.81,41.41,14.41,39.2,56.09,22.95,40.37,15.72,16.86,16.44,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,62
S0,Status quo tight control,constrained capitation/contracting equilibrium,31.5,33.39,56.67,75.68,78.64,22.11,39.93,12.17,37.97,53.67,22.84,38.37,14.15,15.69,16.0,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,63
S0,Status quo tight control,constrained capitation/contracting equilibrium,30.78,34.0,56.75,76.84,79.03,21.46,40.13,12.63,38.48,55.36,20.58,40.16,15.22,16.19,15.82,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,64
S0,Status quo tight control,constrained capitation/contracting equilibrium,31.54,35.01,57.55,75.3,78.29,21.8,40.46,14.62,39.82,51.71,21.65,34.1,15.76,16.91,14.49,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,65
S0,Status quo tight control,constrained capitation/contracting equilibrium,36.23,39.6,55.76,74.11,74.88,22.24,42.39,20.44,37.37,54.59,24.98,41.48,18.36,17.57,17.17,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,66
S0,Status quo tight control,constrained capitation/contracting equilibrium,31.63,35.11,58.82,76.22,78.41,21.11,41.06,14.88,40.1,54.79,20.75,39.26,14.84,16.17,16.48,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,67
S0,Status quo tight control,constrained capitation/contracting equilibrium,30.28,34.35,55.49,76.37,79.44,21.31,39.66,14.64,36.43,55.69,18.7,40.54,15.06,17.9,13.95,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,68
S0,Status quo tight control,constrained capitation/contracting equilibrium,31.91,37.06,52.83,75.62,78.82,21.56,39.92,17.35,34.3,54.7,19.45,39.29,16.4,18.87,13.06,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,69
S0,Status quo tight control,constrained capitation/contracting equilibrium,29.87,34.06,55.38,75.71,79.21,21.73,39.31,12.79,36.35,52.14,21.94,38.27,15.61,17.6,13.41,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,70
S0,Status quo tight control,constrained capitation/contracting equilibrium,31.41,35.2,59.28,75.48,78.01,22.15,40.85,16.15,41.69,52.12,20.95,38.05,16.2,16.95,15.62,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,71
S0,Status quo tight control,constrained capitation/contracting equilibrium,33.76,37.76,56.07,74.29,77.2,22.15,41.16,20.05,37.22,54.95,20.54,40.09,16.3,17.71,15.83,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,72
S0,Status quo tight control,constrained capitation/contracting equilibrium,32.44,36.67,55.12,76.74,78.34,21.31,40.82,15.93,35.96,56.42,22.52,42.12,17.52,18.19,15.11,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,73
S0,Status quo tight control,constrained capitation/contracting equilibrium,35.51,39.18,57.02,73.85,75.9,22.34,42.18,19.56,38.6,53.13,22.53,39.75,17.76,17.49,16.16,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,74
S0,Status quo tight control,constrained capitation/contracting equilibrium,30.84,34.9,55.4,76.21,79.1,21.06,39.96,13.49,36.79,55.18,22.75,39.86,13.7,16.66,15.67,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,75
S0,Status quo tight control,constrained capitation/contracting equilibrium,31.14,34.73,54.42,76.56,78.33,21.33,39.92,14.73,35.75,54.75,21.92,38.0,15.9,15.68,16.25,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,76
S0,Status quo tight control,constrained capitation/contracting equilibrium,30.69,34.7,58.23,76.03,79.53,21.18,40.39,13.25,40.15,56.16,17.78,42.59,13.15,16.97,15.38,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,77
S0,Status quo tight control,constrained capitation/contracting equilibrium,30.93,33.35,54.46,78.92,78.19,20.17,40.27,11.48,35.79,56.32,24.67,40.41,15.74,18.52,13.87,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,78
S0,Status quo tight control,constrained capitation/contracting equilibrium,31.39,34.57,57.44,75.6,78.21,21.93,40.36,14.32,38.55,52.68,21.55,36.41,15.2,16.78,14.8,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,79
S0,Status quo tight control,constrained capitation/contracting equilibrium,31.73,36.08,57.25,78.16,77.53,20.05,41.58,15.14,38.83,57.16,23.11,41.66,15.82,17.59,16.26,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,80
S0,Status quo tight control,constrained capitation/contracting equilibrium,30.63,35.5,55.29,76.56,79.76,21.73,39.83,13.39,36.22,54.71,21.06,41.55,17.77,19.62,12.32,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,81
S0,Status quo tight control,constrained capitation/contracting equilibrium,31.54,34.6,57.55,78.74,77.97,19.99,41.38,12.89,38.13,58.45,22.61,42.92,15.36,17.29,16.21,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,82
S0,Status quo tight control,constrained capitation/contracting equilibrium,31.15,34.47,56.51,78.31,78.74,20.41,40.76,14.69,38.15,58.49,21.21,42.98,14.84,17.33,16.33,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,83
S0,Status quo tight control,constrained capitation/contracting equilibrium,31.86,33.86,55.93,77.34,77.58,20.44,40.7,12.87,37.45,56.39,23.12,40.56,13.55,16.12,16.6,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,84
S0,Status quo tight control,constrained capitation/contracting equilibrium,34.59,37.3,60.83,75.83,76.0,21.11,42.99,18.34,43.12,56.17,22.91,43.51,15.36,16.0,19.4,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,85
S0,Status quo tight control,constrained capitation/contracting equilibrium,33.34,37.47,56.78,75.96,76.68,21.1,41.71,18.49,38.59,56.18,22.58,43.14,15.35,17.02,17.49,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,86
S0,Status quo tight control,constrained capitation/contracting equilibrium,33.36,35.65,58.05,77.77,76.12,19.63,42.34,15.44,40.25,57.63,24.0,40.97,12.43,14.7,19.69,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,87
S0,Status quo tight control,constrained capitation/contracting equilibrium,35.65,39.36,56.6,74.22,76.22,22.13,42.22,22.3,37.49,53.36,20.93,38.73,18.17,16.34,17.36,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,88
S0,Status quo tight control,constrained capitation/contracting equilibrium,31.62,35.29,55.46,77.29,78.42,20.7,40.62,14.35,36.2,55.43,21.4,41.54,16.28,18.28,14.13,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,89
S0,Status quo tight control,constrained capitation/contracting equilibrium,32.64,34.64,60.6,80.2,76.77,18.93,42.99,15.06,42.41,60.6,24.93,42.72,12.84,16.47,19.3,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,90
S0,Status quo tight control,constrained capitation/contracting equilibrium,34.13,38.14,55.45,75.4,76.15,21.16,41.72,17.57,36.15,57.95,22.23,44.06,16.32,17.07,17.19,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,91
S0,Status quo tight control,constrained capitation/contracting equilibrium,36.34,40.31,53.08,73.85,74.79,22.47,41.89,21.83,33.56,53.08,25.34,37.33,19.41,18.03,15.57,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,92
S0,Status quo tight control,constrained capitation/contracting equilibrium,32.16,36.16,53.15,76.21,77.86,21.0,40.24,17.82,33.8,55.47,21.79,39.21,16.59,16.64,15.99,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,93
S0,Status quo tight control,constrained capitation/contracting equilibrium,29.82,34.6,55.94,78.31,80.21,20.46,40.07,12.52,37.68,57.06,18.62,40.37,16.54,20.2,11.6,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,94
S0,Status quo tight control,constrained capitation/contracting equilibrium,34.05,38.35,51.43,74.7,76.23,22.19,40.53,18.44,31.62,55.46,24.12,41.86,18.91,18.44,14.81,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,95
S0,Status quo tight control,constrained capitation/contracting equilibrium,30.64,34.26,56.82,75.98,79.46,21.5,39.93,14.54,38.03,55.22,19.0,39.82,14.46,16.4,15.59,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,96
S0,Status quo tight control,constrained capitation/contracting equilibrium,32.16,35.89,55.65,78.0,77.44,20.06,41.3,13.79,37.71,58.74,24.11,46.08,15.7,17.9,16.55,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,97
S0,Status quo tight control,constrained capitation/contracting equilibrium,31.61,35.76,57.81,77.25,77.69,20.56,41.33,16.31,39.75,56.91,20.85,42.54,15.19,16.65,17.22,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,98
S0,Status quo tight control,constrained capitation/contracting equilibrium,33.41,36.75,57.18,76.92,77.31,20.75,41.84,16.89,37.96,55.91,23.87,38.46,14.86,16.82,16.79,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,99
S0,Status quo tight control,constrained capitation/contracting equilibrium,31.0,33.52,56.01,76.6,78.63,20.83,40.06,12.36,36.93,54.37,20.45,38.05,13.91,16.13,15.01,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,100
S0,Status quo tight control,constrained capitation/contracting equilibrium,37.24,40.26,61.51,71.72,73.29,23.53,43.62,21.67,44.36,50.14,23.29,36.61,17.28,13.11,21.21,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,101
S0,Status quo tight control,constrained capitation/contracting equilibrium,32.32,34.58,60.55,76.22,77.87,21.4,41.56,16.65,43.26,56.58,19.73,41.98,12.87,15.69,18.51,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,102
S0,Status quo tight control,constrained capitation/contracting equilibrium,32.41,35.42,58.51,76.35,77.95,21.63,41.26,13.76,40.9,54.05,23.0,38.63,15.23,17.03,15.74,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,103
S0,Status quo tight control,constrained capitation/contracting equilibrium,32.09,35.16,54.82,74.98,78.62,22.96,39.73,14.65,36.02,52.31,20.85,39.71,19.05,18.03,13.38,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,104
S0,Status quo tight control,constrained capitation/contracting equilibrium,32.3,36.23,56.75,75.63,77.92,21.04,40.97,16.61,38.34,54.05,20.71,39.34,15.91,15.61,17.01,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,105
