parameter_id,name,domain,description,unit,current_value,lower_bound,upper_bound,source_status,source_or_basis,real_data_needed,estimation_strategy,priority,tier,tier_rationale
D12,delay_complexity_growth,demand dynamics,Rate at which delayed care becomes more complex or costly.,0-1 index,0.22,0.01,0.7,placeholder prior,Needs linked access-to-hospital data,Waiting time to ED/admission/acuity,Hazard/competing risk model,high,Tier 1 — core load-bearing,Directly affects the main thesis: whether upstream primary/urgent/ambulance supply expands safely or pressure shifts to hospitals.
S01,gp_capacity_index,supply,General practitioner capacity relative to population need.,0-1 index,0.48,0.05,0.95,placeholder prior,Needs workforce/FTE/open-book data,"GP FTE, sessions, appointment slots",Workforce supply model,high,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
S02,nurse_np_capacity_index,supply,Nurse and nurse practitioner capacity available for claimable primary activity.,0-1 index,0.42,0.05,0.95,placeholder prior,Needs workforce/FTE data,NP/nurse FTE and scope of activity,Workforce/scope supply model,high,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
S03,pharmacist_capacity_index,supply/scope,Pharmacist capacity for eligible primary medical or protocolised contacts.,0-1 index,0.36,0.0,0.9,placeholder prior,Needs pharmacy workforce/scope data,"Pharmacy locations, FTE, prescribing services",Scope-enabled supply model,medium,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
S04,allied_health_capacity_index,supply/scope,"Allied health capacity for eligible musculoskeletal, mental health or chronic-care contacts.",0-1 index,0.36,0.0,0.9,placeholder prior,Needs allied workforce data,"Physio, psychology, counselling, other FTE/activity",Scope-enabled supply model,medium,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
S05,paramedic_alt_capacity_index,supply/ambulance,Paramedic or extended-care paramedic capacity for alternative disposition/treat-and-refer pathways.,0-1 index,0.28,0.0,0.9,placeholder prior,Needs ambulance workforce and pathway data,"Paramedic workforce, alternative pathway activity",Ambulance pathway capacity model,high,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
S06,medical_productivity_per_fte,supply,Relative monthly contacts generated per medical FTE under current settings.,0-1 index,0.56,0.1,0.95,placeholder prior,Needs FTE/contact linkage,"Appointments per FTE, session templates",Productivity regression by practice type,high,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
S07,np_nurse_productivity_per_fte,supply,Relative contacts generated per nurse/NP FTE when claimable and governed.,0-1 index,0.48,0.1,0.95,placeholder prior,Needs FTE/contact linkage,"NP/nurse consultations, protocol care",Productivity/scope model,high,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
S08,scope_substitution_rate,supply/scope,Proportion of GP-bottlenecked contacts that can be safely shifted to other providers within scope.,0-1 index,0.3,0.0,0.8,placeholder prior,Needs clinical pathway/safety evidence,"Contact type, provider type, safety outcomes",Classification + safety validation,high,Tier 1 — core load-bearing,Directly affects the main thesis: whether upstream primary/urgent/ambulance supply expands safely or pressure shifts to hospitals.
S09,workforce_exit_rate,supply dynamics,Monthly risk of provider/practice capacity exit under financial/workload stress.,0-1 index,0.12,0.0,0.6,placeholder prior,Needs workforce/practice exit data,"Closures, reduced sessions, retirement/exit",Discrete-time hazard model,medium,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
S10,market_entry_response,supply dynamics,Provider/practice entry or expansion response to clear activity-sensitive payment rules.,0-1 index,0.22,0.0,0.85,placeholder prior,Needs new entrant/PHO/provider data,"New practices, new PHOs, direct claim onboarding",Entry/expansion model,medium,Tier 1 — core load-bearing,Directly affects the main thesis: whether upstream primary/urgent/ambulance supply expands safely or pressure shifts to hospitals.
S11,local_inperson_constraint,rural/supply,"Constraint on local in-person capacity, especially rural or under-served settings.",0-1 index,0.68,0.0,0.95,source-informed prior,Rurality/access issues recognised in policy,"Rural session availability, travel time, closures",Geospatial supply model,high,Tier 1 — core load-bearing,Directly affects the main thesis: whether upstream primary/urgent/ambulance supply expands safely or pressure shifts to hospitals.
S12,rural_loading_response,rural/supply,Supply response to rural/local in-person loading or higher scheduled benefits.,0-1 index,0.24,0.0,0.85,placeholder prior,Needs payment variation/pilot,Rural payment changes and sessions/appointments,Difference-in-differences/pilot evaluation,high,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
F01,capitation_base_strength,funding,Strength of baseline capitation for continuity/population accountability.,0-1 index,0.7,0.0,0.95,public architecture prior,Capitation is core GP funding,Capitation amounts and enrolments,Payment-flow model,high,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
F02,capitation_weighting_adequacy,funding/equity,Adequacy of capitation weightings for current population need.,0-1 index,0.38,0.0,0.95,source-informed prior,Current reweighting work recognises formula limitations,Current/proposed rate tables and practice impacts,Formula/revenue modelling,high,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
F03,scheduled_medical_benefit_strength,funding/FFS,Strength of uncapped scheduled fee-for-service benefit for eligible primary medical contacts.,0-1 index,0.08,0.0,0.95,policy option prior,No general MBS-equivalent stream currently assumed,"Item schedule, contact categories and public contribution",Policy schedule + claims modelling,high,Tier 1 — core load-bearing,Directly affects the main thesis: whether upstream primary/urgent/ambulance supply expands safely or pressure shifts to hospitals.
F04,scheduled_benefit_price_adequacy,funding/FFS,Adequacy of item prices/public contribution relative to marginal cost.,0-1 index,0.1,0.0,0.95,policy option prior,Needs service costing,"Consult costs, provider time, overhead, co-payment",Costing and provider supply model,high,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
F05,activity_signal_strength,funding/FFS,Marginal revenue signal attached to providing the next clinically necessary contact.,0-1 index,0.2,0.0,0.95,source-informed prior,ACC/programmes/co-payments create partial signals,Marginal payment by contact type,Payment elasticity model,high,Tier 1 — core load-bearing,Directly affects the main thesis: whether upstream primary/urgent/ambulance supply expands safely or pressure shifts to hospitals.
F06,patient_copayment_level,funding/price,Average private co-payment burden affecting demand.,0-1 index,0.58,0.0,0.95,source-informed prior,Cost barriers publicly reported,Practice fee schedules and patient payment data,Price elasticity model,high,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
F07,copayment_protection_strength,equity/price,"Strength of fee caps/subsidies/exemptions for children, high-need and low-income groups.",0-1 index,0.44,0.0,0.95,source-informed prior,CSC/VLCA/subsidy architecture exists,"Eligibility, fees, utilisation by group",Equity-weighted price model,high,Tier 1 — core load-bearing,Directly affects the main thesis: whether upstream primary/urgent/ambulance supply expands safely or pressure shifts to hospitals.
F08,acc_activity_strength,ACC/funding,Extent to which ACC activity/contract payments sustain upstream provider capacity.,0-1 index,0.55,0.0,0.95,hypothesis prior,ACC treatment payment architecture exists,ACC claims/payments by provider/practice,Cross-funder revenue model,high,Tier 1 — core load-bearing,Directly affects the main thesis: whether upstream primary/urgent/ambulance supply expands safely or pressure shifts to hospitals.
F09,acc_constraint_intensity,ACC/funding,Degree of constraint or tightening in ACC activity funding.,0-1 index,0.12,0.0,0.95,hypothesis prior,Potential future policy lever,"Pricing changes, contract changes, claim acceptance",Policy-shock model,medium,Tier 3 — exploratory/risk/implementation,"Useful for political economy, narrative, risk, or implementation analysis; should not drive headline conclusions without validation."
F10,pho_transaction_cost,PHO/admin,Administrative friction or pass-through opacity from PHO-mediated streams.,0-1 index,0.52,0.0,0.95,source-informed hypothesis,PHO transparency issues identified as source target,"PHO financials, pass-through, onboarding delay",Transaction-cost analysis,high,Tier 1 — core load-bearing,Directly affects the main thesis: whether upstream primary/urgent/ambulance supply expands safely or pressure shifts to hospitals.
F11,direct_claiming_strength,admin/payment,Strength of direct provider claims platform/rules-based payment architecture.,0-1 index,0.12,0.0,0.95,policy option prior,Current system lacks broad direct primary medical claims platform,"Claims infrastructure, processing cost, provider uptake",Administrative cost-effectiveness model,high,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
F12,place_based_accountability_strength,commissioning,Population/geographic accountability that prevents cherry-picking under demand-led benefits.,0-1 index,0.42,0.0,0.95,source-informed policy prior,Place-based commissioning raised as important guardrail,"Locality responsibility, outreach, hard-to-reach service targets",Commissioning/accountability model,high,Tier 1 — core load-bearing,Directly affects the main thesis: whether upstream primary/urgent/ambulance supply expands safely or pressure shifts to hospitals.
F13,budget_tightness,fiscal,Constraint imposed by fixed envelopes/baselines/deficit pressure on upstream care.,0-1 index,0.76,0.0,0.95,source-informed prior,Separate appropriations exist but fiscal pressure remains,Vote/baseline movements and budget decisions,Fiscal-flow model,high,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
F14,global_cap_constraint,fiscal,Strength of global cap/fixed envelope on eligible primary medical activity.,0-1 index,0.82,0.0,0.95,policy hypothesis prior,Capitation/fixed pools constrain marginal activity,"Funding envelope, claims cap rules, waiting/rationing outcomes",Supply response + fiscal model,high,Tier 1 — core load-bearing,Directly affects the main thesis: whether upstream primary/urgent/ambulance supply expands safely or pressure shifts to hospitals.
F15,item_rules_strength,fiscal/governance,"Strength of item definitions, documentation, duration/frequency and clinical necessity rules.",0-1 index,0.42,0.0,0.95,policy option prior,ACC-style analogy,Item schedule rules and audit results,Claims audit/rule evaluation,high,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
G01,safety_governance,governance,"Credentialing, prescribing, scope and clinical governance for claimable activity.",0-1 index,0.66,0.0,0.95,source-informed prior,Scope and ACC-style provider rules are relevant,Credentialing/audit/adverse events,Safety governance evaluation,high,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
G02,gaming_controls,governance,"Audit, anomaly detection, coding rules and balancing measures.",0-1 index,0.54,0.0,0.95,placeholder prior,Needs claims/data architecture,"Claims patterns, outliers, re-presentations",Outlier/fraud/waste model,high,Tier 1 — core load-bearing,Directly affects the main thesis: whether upstream primary/urgent/ambulance supply expands safely or pressure shifts to hospitals.
G03,audit_intensity,governance,Operational intensity and credibility of claims audit.,0-1 index,0.42,0.0,0.95,placeholder prior,Needs audit design,"Audit rates, recovery, quality flags",Audit-effect model,medium,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
G04,data_observability_primary,data,"Visibility of appointment, encounter and outcome data.",0-1 index,0.44,0.0,0.95,source-informed prior,NPCD implementation pending,NPCD completeness/timeliness,Data completeness model,high,Tier 1 — core load-bearing,Directly affects the main thesis: whether upstream primary/urgent/ambulance supply expands safely or pressure shifts to hospitals.
G05,data_observability_ambulance,data,"Visibility of ambulance demand, conveyance and alternative disposition data.",0-1 index,0.48,0.0,0.95,source-informed prior,Ambulance KPIs exist,Ambulance event/disposition data,Data linkage model,high,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
G06,data_observability_hospital,data,Visibility and linkage of ED/admission outcomes to upstream access.,0-1 index,0.6,0.0,0.95,source-informed prior,Hospital data collections exist,ED/NMDS/NHI linkage,Linked outcomes model,high,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
G07,primary_kpi_salience,accountability,Top-tier visibility of primary care access and outcomes.,0-1 index,0.42,0.0,0.95,source-informed prior,Primary care target implementation pending,"Target reporting, consequences, balancing measures",KPI salience evaluation,high,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
G08,ambulance_kpi_salience,accountability,"Top-tier visibility of ambulance response, non-conveyance and offload outcomes.",0-1 index,0.45,0.0,0.95,source-informed prior,Ambulance KPIs reported but not top-tier equivalent,KPIs and governance escalation,KPI salience evaluation,medium,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
G09,hospital_salience,political economy,Political/managerial salience of hospital failure relative to upstream failure.,0-1 index,0.88,0.0,0.95,strategic hypothesis,Hospitals highly visible,Media/budget/escalation patterns,Political-economy analysis,medium,Tier 3 — exploratory/risk/implementation,"Useful for political economy, narrative, risk, or implementation analysis; should not drive headline conclusions without validation."
G10,equity_program_strength,equity,"Strength of outreach, kaupapa Māori/Pacific/community programmes protecting equity.",0-1 index,0.46,0.0,0.95,placeholder prior,Needs equity review,"Programme funding, uptake, outcomes",Equity impact evaluation,high,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
G11,te_tiriti_governance_strength,equity/governance,Strength of Te Tiriti and Māori data/governance arrangements in design and monitoring.,0-1 index,0.42,0.0,0.95,placeholder prior,Needs Māori governance review,"Governance terms, data sovereignty processes",Qualitative/governance assessment,high,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
G12,consumer_trust,legitimacy,Trust that patients and communities have in the service model.,0-1 index,0.5,0.0,0.95,placeholder prior,Needs consumer validation,"Patient experience, trust, uptake",Survey/interview model,medium,Tier 3 — exploratory/risk/implementation,"Useful for political economy, narrative, risk, or implementation analysis; should not drive headline conclusions without validation."
G13,stakeholder_alignment,political economy,"Alignment among providers, PHOs, officials, funders and communities.",0-1 index,0.36,0.0,0.95,placeholder prior,Needs MCDA/stakeholder scoring,"Workshop scores, submissions, interviews",Deliberative MCDA/qualitative analysis,medium,Tier 3 — exploratory/risk/implementation,"Useful for political economy, narrative, risk, or implementation analysis; should not drive headline conclusions without validation."
G14,narrative_coherence,political economy,Whether the reform can be explained without being misread as uncontrolled FFS or anti-equity.,0-1 index,0.46,0.0,0.95,author judgement prior,Publication strategy matters,"Stakeholder response, public feedback",Qualitative/narrative evaluation,medium,Tier 3 — exploratory/risk/implementation,"Useful for political economy, narrative, risk, or implementation analysis; should not drive headline conclusions without validation."
H01,baseline_hospital_pressure,hospital,Baseline relative hospital pressure in the absence of additional upstream deflection.,0-1 index,0.72,0.0,0.95,source-informed prior,Hospital pressure is central context,ED/admission/bed/deficit data,Baseline calibration,high,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
H02,ed_conversion_rate,hospital,Rate at which unmet primary care need converts to ED presentation.,0-1 index,0.32,0.01,0.9,placeholder prior,Needs linked data,Unmet care/waiting time to ED,Hazard/transition model,high,Tier 1 — core load-bearing,Directly affects the main thesis: whether upstream primary/urgent/ambulance supply expands safely or pressure shifts to hospitals.
H03,admission_conversion_rate,hospital,Rate at which ED/ambulance/unmet need converts to hospital admission.,0-1 index,0.18,0.01,0.7,placeholder prior,Needs ED/NMDS linkage,"ED disposition, admissions, diagnosis",Transition model,high,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
H04,ambulance_conveyance_default,ambulance,Default tendency for ambulance pathways to convey to ED when alternatives are weak.,0-1 index,0.72,0.05,0.95,placeholder prior,Needs ambulance disposition data,"Conveyance, treat-and-refer, destination",Multinomial disposition model,high,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
H05,ambulance_deflection_rate,ambulance,Effectiveness of funded alternative disposition/hear-and-treat/treat-and-refer pathways.,0-1 index,0.22,0.0,0.9,placeholder prior,Needs pilots/ambulance data,"Non-conveyance safety, re-presentation",Pathway evaluation,high,Tier 1 — core load-bearing,Directly affects the main thesis: whether upstream primary/urgent/ambulance supply expands safely or pressure shifts to hospitals.
H06,urgent_care_effectiveness,urgent care,Effectiveness of urgent and after-hours care in substituting for ED without unsafe delay.,0-1 index,0.42,0.0,0.95,source-informed prior,Urgent care policy is current comparator,"Urgent visits, ED substitution, fees, outcomes",Synthetic control/DID/pilot evaluation,high,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
H07,telehealth_substitution_rate,digital,"Share of telehealth activity that substitutes for, rather than adds to, in-person/local supply.",0-1 index,0.42,0.0,0.95,placeholder prior,Needs mode/outcomes data,"Telehealth visits, follow-up, re-presentation",Substitution/complementarity model,medium,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
H08,hospital_cost_per_event_index,cost,Relative public cost of ED/admission events versus primary care contacts.,0-1 index,0.82,0.05,0.95,placeholder prior,Needs cost weights,ED/inpatient cost weights,Costing model,high,Tier 3 — exploratory/risk/implementation,"Useful for political economy, narrative, risk, or implementation analysis; should not drive headline conclusions without validation."
H09,primary_contact_cost_index,cost,Relative public cost of claimable primary medical contact.,0-1 index,0.28,0.05,0.7,placeholder prior,Needs item schedule/costing,Service cost and schedule price,Activity costing,high,Tier 3 — exploratory/risk/implementation,"Useful for political economy, narrative, risk, or implementation analysis; should not drive headline conclusions without validation."
H10,ambulance_event_cost_index,cost,Relative public cost of ambulance event and alternative disposition pathways.,0-1 index,0.46,0.05,0.85,placeholder prior,Needs ambulance costing,Call/response/conveyance pathway cost,Pathway costing,medium,Tier 3 — exploratory/risk/implementation,"Useful for political economy, narrative, risk, or implementation analysis; should not drive headline conclusions without validation."
R01,cherry_picking_risk,risk,Risk that providers select easy/profitable contacts while hard-to-reach patients remain under-served.,0-1 index,0.58,0.0,0.95,stakeholder-informed hypothesis,Place-based accountability needed,"Patient mix, complexity, outreach, non-attenders",Equity/selection model,high,Tier 1 — core load-bearing,Directly affects the main thesis: whether upstream primary/urgent/ambulance supply expands safely or pressure shifts to hospitals.
R02,low_value_activity_risk,risk,Risk of claimable low-value or unnecessary contacts under fee-for-service.,0-1 index,0.45,0.0,0.95,theory prior,FFS can incentivise volume,"Claims outliers, coding, outcomes",Audit/utilisation model,high,Tier 3 — exploratory/risk/implementation,"Useful for political economy, narrative, risk, or implementation analysis; should not drive headline conclusions without validation."
R03,fiscal_leakage_risk,risk,Risk that funding leaks to volume or margin without improving access/equity/outcomes.,0-1 index,0.42,0.0,0.95,theory prior,Demand-led models require controls,"Public spend, outcomes, claim patterns",Value-for-money model,high,Tier 1 — core load-bearing,Directly affects the main thesis: whether upstream primary/urgent/ambulance supply expands safely or pressure shifts to hospitals.
R04,provider_moral_hazard_risk,risk,Risk that providers alter coding/contact patterns to maximise payment.,0-1 index,0.38,0.0,0.95,theory prior,Payment incentives create coding risk,Billing patterns and audit outcomes,Anomaly detection,medium,Tier 3 — exploratory/risk/implementation,"Useful for political economy, narrative, risk, or implementation analysis; should not drive headline conclusions without validation."
R05,cream_skimming_penalty,risk/equity,Penalty for reform options that expand easy supply but leave complex demand unmet.,0-1 index,0.5,0.0,0.95,policy hypothesis,Place accountability guardrail,"Patient mix, enrolment/open books, complexity",Selection/equity analysis,high,Tier 3 — exploratory/risk/implementation,"Useful for political economy, narrative, risk, or implementation analysis; should not drive headline conclusions without validation."
R06,political_contestation,implementation,"Likelihood that the reform is framed as ideological, anti-equity, anti-GP or anti-PHO.",0-1 index,0.58,0.0,0.95,author judgement prior,Email trail and sector politics,"Stakeholder responses, media framing",Political-economy analysis,medium,Tier 3 — exploratory/risk/implementation,"Useful for political economy, narrative, risk, or implementation analysis; should not drive headline conclusions without validation."
R07,implementation_complexity,implementation,"Operational complexity of designing, paying, auditing and governing the architecture.",0-1 index,0.6,0.0,0.95,policy judgement prior,Multi-actor reform complexity,"Implementation plan, cost, timeline",Implementation risk assessment,medium,Tier 3 — exploratory/risk/implementation,"Useful for political economy, narrative, risk, or implementation analysis; should not drive headline conclusions without validation."
