option_id,option_name,criterion_id,criterion_name,criterion_description,score_minus2_to_plus2,weight_0_to_100,confidence_0_to_1,risk_penalty_0_to_2,notes
O3,National Primary Care Benefits Schedule,C8,Governance and clinical safety,"Are scope, prescribing, audit and safety controls strong?",,,,,
O3,National Primary Care Benefits Schedule,C9,Political feasibility,Can the option survive contestation?,,,,,
O3,National Primary Care Benefits Schedule,C10,Data and accountability readiness,Can outcomes be measured and managed?,,,,,
O4,Benefits schedule + scope-enabled eligibility,C1,Access and supply generation,Does the option increase safe upstream capacity?,,,,,
O4,Benefits schedule + scope-enabled eligibility,C2,Hospital deflection,"Does it reduce avoidable ED, ambulance and hospital flow?",,,,,
O4,Benefits schedule + scope-enabled eligibility,C3,Equity and Te Tiriti legitimacy,Does access improve without worsening inequity?,,,,,
O4,Benefits schedule + scope-enabled eligibility,C4,Rural and in-person resilience,"Does it protect local care, not just telehealth?",,,,,
O4,Benefits schedule + scope-enabled eligibility,C5,Fiscal sustainability,Is the model affordable and controllable?,,,,,
O4,Benefits schedule + scope-enabled eligibility,C6,Gaming and low-value activity risk,Does it avoid opportunistic or low-value activity?,,,,,
O4,Benefits schedule + scope-enabled eligibility,C7,Administrative simplicity and market entry,Does it lower transaction costs and entry barriers?,,,,,
O4,Benefits schedule + scope-enabled eligibility,C8,Governance and clinical safety,"Are scope, prescribing, audit and safety controls strong?",,,,,
O4,Benefits schedule + scope-enabled eligibility,C9,Political feasibility,Can the option survive contestation?,,,,,
O4,Benefits schedule + scope-enabled eligibility,C10,Data and accountability readiness,Can outcomes be measured and managed?,,,,,
O5,Full upstream access architecture,C1,Access and supply generation,Does the option increase safe upstream capacity?,,,,,
O5,Full upstream access architecture,C2,Hospital deflection,"Does it reduce avoidable ED, ambulance and hospital flow?",,,,,
O5,Full upstream access architecture,C3,Equity and Te Tiriti legitimacy,Does access improve without worsening inequity?,,,,,
O5,Full upstream access architecture,C4,Rural and in-person resilience,"Does it protect local care, not just telehealth?",,,,,
O5,Full upstream access architecture,C5,Fiscal sustainability,Is the model affordable and controllable?,,,,,
O5,Full upstream access architecture,C6,Gaming and low-value activity risk,Does it avoid opportunistic or low-value activity?,,,,,
O5,Full upstream access architecture,C7,Administrative simplicity and market entry,Does it lower transaction costs and entry barriers?,,,,,
O5,Full upstream access architecture,C8,Governance and clinical safety,"Are scope, prescribing, audit and safety controls strong?",,,,,
O5,Full upstream access architecture,C9,Political feasibility,Can the option survive contestation?,,,,,
O5,Full upstream access architecture,C10,Data and accountability readiness,Can outcomes be measured and managed?,,,,,
O6,Loose benefits with weak controls,C1,Access and supply generation,Does the option increase safe upstream capacity?,,,,,
O6,Loose benefits with weak controls,C2,Hospital deflection,"Does it reduce avoidable ED, ambulance and hospital flow?",,,,,
O6,Loose benefits with weak controls,C3,Equity and Te Tiriti legitimacy,Does access improve without worsening inequity?,,,,,
O6,Loose benefits with weak controls,C4,Rural and in-person resilience,"Does it protect local care, not just telehealth?",,,,,
O6,Loose benefits with weak controls,C5,Fiscal sustainability,Is the model affordable and controllable?,,,,,
O6,Loose benefits with weak controls,C6,Gaming and low-value activity risk,Does it avoid opportunistic or low-value activity?,,,,,
O6,Loose benefits with weak controls,C7,Administrative simplicity and market entry,Does it lower transaction costs and entry barriers?,,,,,
O6,Loose benefits with weak controls,C8,Governance and clinical safety,"Are scope, prescribing, audit and safety controls strong?",,,,,
O6,Loose benefits with weak controls,C9,Political feasibility,Can the option survive contestation?,,,,,
O6,Loose benefits with weak controls,C10,Data and accountability readiness,Can outcomes be measured and managed?,,,,,
O7,ACC/ambulance alternatives only,C1,Access and supply generation,Does the option increase safe upstream capacity?,,,,,
O7,ACC/ambulance alternatives only,C2,Hospital deflection,"Does it reduce avoidable ED, ambulance and hospital flow?",,,,,
O7,ACC/ambulance alternatives only,C3,Equity and Te Tiriti legitimacy,Does access improve without worsening inequity?,,,,,
O7,ACC/ambulance alternatives only,C4,Rural and in-person resilience,"Does it protect local care, not just telehealth?",,,,,
O7,ACC/ambulance alternatives only,C5,Fiscal sustainability,Is the model affordable and controllable?,,,,,
O7,ACC/ambulance alternatives only,C6,Gaming and low-value activity risk,Does it avoid opportunistic or low-value activity?,,,,,
O7,ACC/ambulance alternatives only,C7,Administrative simplicity and market entry,Does it lower transaction costs and entry barriers?,,,,,
O7,ACC/ambulance alternatives only,C8,Governance and clinical safety,"Are scope, prescribing, audit and safety controls strong?",,,,,
O7,ACC/ambulance alternatives only,C9,Political feasibility,Can the option survive contestation?,,,,,
O7,ACC/ambulance alternatives only,C10,Data and accountability readiness,Can outcomes be measured and managed?,,,,,
O8,PHO reform/direct claims only,C1,Access and supply generation,Does the option increase safe upstream capacity?,,,,,
O8,PHO reform/direct claims only,C2,Hospital deflection,"Does it reduce avoidable ED, ambulance and hospital flow?",,,,,
O8,PHO reform/direct claims only,C3,Equity and Te Tiriti legitimacy,Does access improve without worsening inequity?,,,,,
O8,PHO reform/direct claims only,C4,Rural and in-person resilience,"Does it protect local care, not just telehealth?",,,,,
O8,PHO reform/direct claims only,C5,Fiscal sustainability,Is the model affordable and controllable?,,,,,
O8,PHO reform/direct claims only,C6,Gaming and low-value activity risk,Does it avoid opportunistic or low-value activity?,,,,,
O8,PHO reform/direct claims only,C7,Administrative simplicity and market entry,Does it lower transaction costs and entry barriers?,,,,,
O8,PHO reform/direct claims only,C8,Governance and clinical safety,"Are scope, prescribing, audit and safety controls strong?",,,,,
O8,PHO reform/direct claims only,C9,Political feasibility,Can the option survive contestation?,,,,,
O8,PHO reform/direct claims only,C10,Data and accountability readiness,Can outcomes be measured and managed?,,,,,
