option_id,option,criterion_id,criterion,raw_score_minus2_to_plus2,confidence_0_to_1,rationale
O5,Full upstream access architecture,C1,Access and supply generation,,,
O5,Full upstream access architecture,C2,Hospital deflection,,,
O5,Full upstream access architecture,C3,Equity and Te Tiriti legitimacy,,,
O5,Full upstream access architecture,C4,Rural and in-person resilience,,,
O5,Full upstream access architecture,C5,Fiscal sustainability,,,
O5,Full upstream access architecture,C6,Gaming and low-value activity risk,,,
O5,Full upstream access architecture,C7,Administrative simplicity and market entry,,,
O5,Full upstream access architecture,C8,Governance and clinical safety,,,
O5,Full upstream access architecture,C9,Political feasibility,,,
O5,Full upstream access architecture,C10,Data and accountability readiness,,,
O6,Loose demand-driven benefits with weak controls,C1,Access and supply generation,,,
O6,Loose demand-driven benefits with weak controls,C2,Hospital deflection,,,
O6,Loose demand-driven benefits with weak controls,C3,Equity and Te Tiriti legitimacy,,,
O6,Loose demand-driven benefits with weak controls,C4,Rural and in-person resilience,,,
O6,Loose demand-driven benefits with weak controls,C5,Fiscal sustainability,,,
O6,Loose demand-driven benefits with weak controls,C6,Gaming and low-value activity risk,,,
O6,Loose demand-driven benefits with weak controls,C7,Administrative simplicity and market entry,,,
O6,Loose demand-driven benefits with weak controls,C8,Governance and clinical safety,,,
O6,Loose demand-driven benefits with weak controls,C9,Political feasibility,,,
O6,Loose demand-driven benefits with weak controls,C10,Data and accountability readiness,,,
O7,ACC/ambulance alternatives strengthened only,C1,Access and supply generation,,,
O7,ACC/ambulance alternatives strengthened only,C2,Hospital deflection,,,
O7,ACC/ambulance alternatives strengthened only,C3,Equity and Te Tiriti legitimacy,,,
O7,ACC/ambulance alternatives strengthened only,C4,Rural and in-person resilience,,,
O7,ACC/ambulance alternatives strengthened only,C5,Fiscal sustainability,,,
O7,ACC/ambulance alternatives strengthened only,C6,Gaming and low-value activity risk,,,
O7,ACC/ambulance alternatives strengthened only,C7,Administrative simplicity and market entry,,,
O7,ACC/ambulance alternatives strengthened only,C8,Governance and clinical safety,,,
O7,ACC/ambulance alternatives strengthened only,C9,Political feasibility,,,
O7,ACC/ambulance alternatives strengthened only,C10,Data and accountability readiness,,,
O8,PHO reform/direct claims only,C1,Access and supply generation,,,
O8,PHO reform/direct claims only,C2,Hospital deflection,,,
O8,PHO reform/direct claims only,C3,Equity and Te Tiriti legitimacy,,,
O8,PHO reform/direct claims only,C4,Rural and in-person resilience,,,
O8,PHO reform/direct claims only,C5,Fiscal sustainability,,,
O8,PHO reform/direct claims only,C6,Gaming and low-value activity risk,,,
O8,PHO reform/direct claims only,C7,Administrative simplicity and market entry,,,
O8,PHO reform/direct claims only,C8,Governance and clinical safety,,,
O8,PHO reform/direct claims only,C9,Political feasibility,,,
O8,PHO reform/direct claims only,C10,Data and accountability readiness,,,
O9,Hospital investment priority only,C1,Access and supply generation,,,
O9,Hospital investment priority only,C2,Hospital deflection,,,
O9,Hospital investment priority only,C3,Equity and Te Tiriti legitimacy,,,
O9,Hospital investment priority only,C4,Rural and in-person resilience,,,
O9,Hospital investment priority only,C5,Fiscal sustainability,,,
O9,Hospital investment priority only,C6,Gaming and low-value activity risk,,,
O9,Hospital investment priority only,C7,Administrative simplicity and market entry,,,
O9,Hospital investment priority only,C8,Governance and clinical safety,,,
O9,Hospital investment priority only,C9,Political feasibility,,,
O9,Hospital investment priority only,C10,Data and accountability readiness,,,
