game_id,game_name,scenario_id,scenario_name,access_score,provider_viability,equity_score,fiscal_control,hospital_pressure,gaming_risk,system_welfare,equilibrium_label,mechanism_summary,draw,marginal_contact_benefit,capitation_weighting,scope_flexibility,pho_transaction_cost,primary_kpi_salience,ambulance_kpi_salience,hospital_political_penalty,data_observability,copayment_level,copayment_protections,equity_program_strength,telehealth_scale,telehealth_integration,local_inperson_loading,ambulance_alternative_funding,acc_activity_funding,acc_constraint,budget_tightness,safety_governance,gaming_controls,direct_claiming,stakeholder_alignment,narrative_coherence
G7,Ambulance conveyance game,P8,Direct claims and PHO intermediation reform only,44.57,50.79,63.71,72.77,80.4,13.19,49.11,ED-conveyance default,"Alternative disposition is stable only when payment, clinical governance, data and follow-up reduce organisational risk.",674,0.3191,0.4454,0.4025,0.2524,0.4137,0.3904,0.9037,0.6808,0.645,0.355,0.7507,0.6477,0.3917,0.265,0.3567,0.7544,0.1767,0.7654,0.7608,0.6833,0.6789,0.3436,0.5096
G3,Capitation marginal-supply game,P3,Full upstream access architecture,87.95,86.53,84.98,64.55,28.13,13.06,78.23,marginal-expansion equilibrium,"Additional contacts expand only when combined public benefit and co-payment exceed marginal cost, admin cost and risk.",595,0.8509,0.8471,0.911,0.1045,0.9302,0.8739,0.6019,0.8231,0.4725,0.7826,1.0,0.6142,0.8285,0.7594,0.7341,0.7119,0.0,0.5805,1.0,0.8559,0.9808,0.7469,0.8623
G7,Ambulance conveyance game,P1,Capitation reweighting plus access target,48.57,52.24,64.52,72.1,77.46,13.4,50.92,ED-conveyance default,"Alternative disposition is stable only when payment, clinical governance, data and follow-up reduce organisational risk.",597,0.0306,0.8656,0.2768,0.6917,0.544,0.3879,0.9076,0.6602,0.5009,0.4483,0.7505,0.6246,0.6095,0.2652,0.4334,0.7622,0.1222,0.6997,0.7584,0.6647,0.1078,0.4769,0.5222
G10,Co-payment calibration game,P5,ACC activity constraint shock,53.12,49.36,68.69,75.7,62.43,10.0,55.96,price-rationing equity failure,Co-payment can moderate discretionary demand but becomes a delayed-care mechanism without protections.,981,0.0,0.3631,0.3723,0.5223,0.5174,0.406,0.9041,0.4306,0.6072,0.5026,0.6054,0.5461,0.4024,0.1515,0.4237,0.476,0.6644,0.8421,0.6838,0.6143,0.0174,0.2037,0.3016
G10,Co-payment calibration game,P2,National Primary Care Benefits Schedule,73.24,63.82,76.7,61.52,45.49,12.49,65.33,calibrated co-payment equilibrium,Co-payment can moderate discretionary demand but becomes a delayed-care mechanism without protections.,500,0.7107,0.8118,0.9101,0.3207,0.6922,0.524,0.8151,0.6647,0.4894,0.543,0.704,0.6102,0.6649,0.6647,0.5134,0.6716,0.0923,0.6497,0.731,0.875,0.7674,0.7067,0.6932
G4,Consumer access pathway game,P1,Capitation reweighting plus access target,38.88,42.93,61.85,78.7,77.05,20.19,45.97,delay/ED-substitution equilibrium,"Patients move to lower-cost access when price, wait, travel and trust costs are lower than delay or ED substitution.",738,0.0674,0.7541,0.452,0.5315,0.6438,0.5357,0.9482,0.5988,0.6388,0.4685,0.6428,0.6616,0.4107,0.268,0.3516,0.5999,0.0897,0.7956,0.753,0.6422,0.0655,0.4721,0.3638
G5,PHO intermediation game,P5,ACC activity constraint shock,10.75,23.12,59.07,81.69,83.21,23.34,33.02,intermediated-gatekeeping equilibrium,Direct claiming improves entry only if PHO/locality equity and population-health functions are explicitly preserved.,163,0.0,0.271,0.4327,0.625,0.4059,0.3958,0.9119,0.5856,0.5209,0.4885,0.5959,0.5793,0.3795,0.2932,0.3813,0.3789,0.6437,0.8395,0.6654,0.666,0.0551,0.1701,0.2303
G7,Ambulance conveyance game,P0,Current source-informed baseline,42.57,47.91,63.22,70.5,80.65,15.84,47.0,ED-conveyance default,"Alternative disposition is stable only when payment, clinical governance, data and follow-up reduce organisational risk.",7,0.0239,0.359,0.3605,0.5299,0.2837,0.5804,0.8952,0.4631,0.6097,0.4955,0.6996,0.6102,0.4276,0.325,0.3615,0.5239,0.1322,0.7609,0.7129,0.5013,0.0196,0.3384,0.202
G4,Consumer access pathway game,P2,National Primary Care Benefits Schedule,74.3,68.12,75.51,64.8,50.98,16.43,65.25,early-access equilibrium,"Patients move to lower-cost access when price, wait, travel and trust costs are lower than delay or ED substitution.",810,0.842,0.7825,0.6788,0.2542,0.8191,0.5277,0.7737,0.7326,0.4178,0.6646,0.8024,0.6757,0.6577,0.7502,0.5115,0.6559,0.1221,0.6023,0.7087,0.8238,0.8299,0.6192,0.7093
G4,Consumer access pathway game,P8,Direct claims and PHO intermediation reform only,40.93,47.72,62.16,76.8,75.69,18.51,47.62,delay/ED-substitution equilibrium,"Patients move to lower-cost access when price, wait, travel and trust costs are lower than delay or ED substitution.",884,0.2807,0.3049,0.3046,0.2002,0.3323,0.2914,0.9245,0.682,0.5971,0.4066,0.666,0.6287,0.4013,0.2657,0.3175,0.7437,0.1389,0.8509,0.7839,0.7714,0.792,0.3575,0.5479
G6,ACC/Health NZ cross-funder game,P7,Scope-enabled provider supply only,46.68,55.23,66.55,64.52,62.98,22.64,50.37,whole-of-Crown flow equilibrium,ACC activity funding can stabilise lower-cost capacity; constraining it in isolation risks spillover to Health NZ and patients.,765,0.5055,0.3586,0.8974,0.5067,0.4807,0.44,0.8759,0.6631,0.5843,0.6358,0.5192,0.7471,0.4713,0.1121,0.3217,0.6688,0.0672,0.7927,0.8008,0.5605,0.3201,0.5514,0.5463
G10,Co-payment calibration game,P3,Full upstream access architecture,85.63,63.07,92.3,50.72,34.44,16.07,71.05,calibrated co-payment equilibrium,Co-payment can moderate discretionary demand but becomes a delayed-care mechanism without protections.,654,0.8748,0.7901,0.7804,0.1251,0.867,0.7714,0.7337,0.9384,0.2764,0.7616,0.8928,0.6502,0.6343,0.7541,0.8079,0.7056,0.1519,0.5867,0.914,0.8371,0.9046,0.6819,1.0
G14,Data observability game,P0,Current source-informed baseline,37.23,44.78,68.77,74.31,72.48,34.76,44.58,hidden-unmet-need equilibrium,"Upstream access failure becomes fundable only when data links it to ambulance, ED and avoidable admission outcomes.",630,0.2182,0.3284,0.314,0.6646,0.3852,0.5241,0.7258,0.4782,0.5557,0.5095,0.5516,0.7689,0.4507,0.3165,0.3487,0.645,0.0,0.8454,0.7815,0.5447,0.1123,0.3112,0.3329
G9,Telehealth/local-supply game,P2,National Primary Care Benefits Schedule,69.94,58.28,75.51,76.9,51.67,20.58,63.59,integrated hybrid-access equilibrium,Telehealth improves simple access but must be integrated and paired with local in-person capacity.,421,0.8085,0.8389,0.6306,0.2816,0.6636,0.5818,0.895,0.7222,0.4372,0.57,0.7853,0.6741,0.6303,0.5995,0.4366,0.6955,0.0,0.7531,0.7744,0.7498,0.7822,0.6846,0.7486
G6,ACC/Health NZ cross-funder game,P7,Scope-enabled provider supply only,49.46,58.63,65.65,64.11,60.02,21.97,52.03,whole-of-Crown flow equilibrium,ACC activity funding can stabilise lower-cost capacity; constraining it in isolation risks spillover to Health NZ and patients.,921,0.4147,0.2807,0.7714,0.4446,0.5052,0.4738,0.9116,0.6629,0.6019,0.6056,0.497,0.641,0.4691,0.2716,0.3621,0.7302,0.0089,0.7974,0.8962,0.6171,0.5939,0.6561,0.6248
G7,Ambulance conveyance game,P8,Direct claims and PHO intermediation reform only,45.7,50.26,63.9,71.54,78.05,13.97,49.33,ED-conveyance default,"Alternative disposition is stable only when payment, clinical governance, data and follow-up reduce organisational risk.",752,0.3145,0.4268,0.3607,0.2157,0.3702,0.3697,0.8715,0.6027,0.666,0.4467,0.7141,0.6944,0.4477,0.2924,0.4249,0.6202,0.1775,0.8362,0.7824,0.6637,0.7391,0.4169,0.3963
G12,Equity and trust game,P6,Ambulance alternatives only,46.31,50.77,62.61,78.88,60.67,16.65,52.59,benefits plus equity-function equilibrium,"Demand-driven benefits need retained kaupapa Maori, Pacific, rural and locality functions to avoid transactional equity failure.",645,0.0966,0.3007,0.3371,0.6939,0.3992,0.7175,0.9289,0.6225,0.5842,0.5409,0.645,0.6677,0.4486,0.242,0.7594,0.7283,0.1612,0.8734,0.8473,0.7027,0.0453,0.467,0.6325
G12,Equity and trust game,P3,Full upstream access architecture,80.61,81.25,86.27,76.86,33.66,12.55,77.04,benefits plus equity-function equilibrium,"Demand-driven benefits need retained kaupapa Maori, Pacific, rural and locality functions to avoid transactional equity failure.",639,0.8265,0.8471,0.8798,0.1799,0.936,0.7925,0.6478,0.9539,0.1633,0.8504,0.9616,0.7115,0.9211,0.8128,0.7695,0.7792,0.0,0.5657,0.8693,0.948,0.929,0.7645,0.8241
G7,Ambulance conveyance game,P0,Current source-informed baseline,42.38,48.58,58.3,70.87,84.12,15.38,45.65,ED-conveyance default,"Alternative disposition is stable only when payment, clinical governance, data and follow-up reduce organisational risk.",40,0.0573,0.3361,0.4156,0.7821,0.4533,0.3338,0.9623,0.4856,0.6481,0.3866,0.594,0.6053,0.3241,0.1409,0.3051,0.7134,0.0108,0.8868,0.7275,0.6409,0.0039,0.3258,0.2929
G12,Equity and trust game,P8,Direct claims and PHO intermediation reform only,46.82,53.91,56.8,77.71,61.44,19.92,51.11,benefits plus equity-function equilibrium,"Demand-driven benefits need retained kaupapa Maori, Pacific, rural and locality functions to avoid transactional equity failure.",919,0.1919,0.4122,0.429,0.1933,0.4229,0.3346,0.9567,0.5747,0.525,0.4465,0.5984,0.6556,0.4827,0.2583,0.0913,0.7572,0.112,0.7842,0.7239,0.7356,0.7477,0.4598,0.5253
G9,Telehealth/local-supply game,P5,ACC activity constraint shock,48.41,38.43,60.64,79.86,70.78,25.36,47.71,telehealth-substitution/fragmentation,Telehealth improves simple access but must be integrated and paired with local in-person capacity.,667,0.1057,0.3174,0.2764,0.4797,0.591,0.5685,0.9589,0.383,0.5815,0.5014,0.5849,0.6764,0.4959,0.2456,0.3005,0.4415,0.6343,0.8899,0.6883,0.6903,0.16,0.171,0.1693
G11,KPI salience game,P6,Ambulance alternatives only,55.18,52.65,71.81,79.57,57.21,19.04,57.61,upstream target salience with balancing measures,"Top-tier KPIs shift behaviour only if paired with funding levers, data and balancing measures.",967,0.2037,0.2756,0.4488,0.7237,0.4814,0.7993,0.8133,0.6232,0.599,0.399,0.5194,0.6527,0.5844,0.2848,0.759,0.6932,0.1399,0.9072,0.9191,0.6538,0.0588,0.5209,0.5985
G7,Ambulance conveyance game,P7,Scope-enabled provider supply only,52.05,53.36,63.21,71.36,71.81,14.09,52.34,ED-conveyance default,"Alternative disposition is stable only when payment, clinical governance, data and follow-up reduce organisational risk.",956,0.4013,0.3764,0.8836,0.3394,0.4947,0.517,0.8842,0.5905,0.6049,0.7328,0.6064,0.6762,0.4042,0.2656,0.5095,0.6378,0.1075,0.7815,0.8832,0.619,0.308,0.4974,0.5933
G6,ACC/Health NZ cross-funder game,P0,Current source-informed baseline,34.09,40.0,63.25,64.49,72.89,26.05,41.37,siloed-cost-shifting equilibrium,ACC activity funding can stabilise lower-cost capacity; constraining it in isolation risks spillover to Health NZ and patients.,276,0.1118,0.4345,0.3758,0.5814,0.42,0.5007,0.8656,0.3217,0.4964,0.5186,0.6126,0.5495,0.4247,0.2254,0.4469,0.6978,0.1406,0.9046,0.8815,0.5609,0.0256,0.3689,0.2784
G14,Data observability game,P7,Scope-enabled provider supply only,46.02,50.73,68.99,72.25,68.77,34.59,48.34,hidden-unmet-need equilibrium,"Upstream access failure becomes fundable only when data links it to ambulance, ED and avoidable admission outcomes.",864,0.439,0.3122,0.8044,0.3713,0.5294,0.369,1.0,0.4852,0.5294,0.6243,0.5054,0.6896,0.3832,0.2058,0.3553,0.5537,0.051,0.7746,0.9273,0.5424,0.4029,0.5249,0.4272
G11,KPI salience game,P1,Capitation reweighting plus access target,51.31,48.69,79.36,80.52,60.67,19.78,57.03,upstream target salience with balancing measures,"Top-tier KPIs shift behaviour only if paired with funding levers, data and balancing measures.",522,0.0694,0.744,0.3599,0.6061,0.6524,0.4793,0.9504,0.5932,0.6107,0.6269,0.7583,0.6265,0.4662,0.2789,0.361,0.6903,0.0655,0.9143,0.7612,0.6235,0.0,0.4495,0.4612
G7,Ambulance conveyance game,P3,Full upstream access architecture,72.14,63.86,81.5,75.25,50.88,10.1,68.23,safe alternative-disposition equilibrium,"Alternative disposition is stable only when payment, clinical governance, data and follow-up reduce organisational risk.",355,0.8793,0.784,0.8133,0.1805,0.8259,0.76,0.5459,0.9902,0.3094,0.7829,0.9413,0.7631,0.6661,0.8458,0.7866,0.7083,0.0558,0.5002,0.8609,0.9696,0.77,0.7943,0.8161
G4,Consumer access pathway game,P6,Ambulance alternatives only,41.5,42.72,61.3,80.65,74.86,18.05,47.58,delay/ED-substitution equilibrium,"Patients move to lower-cost access when price, wait, travel and trust costs are lower than delay or ED substitution.",891,0.0314,0.4019,0.2968,0.6684,0.4851,0.7698,0.7495,0.6004,0.5612,0.4374,0.4694,0.6795,0.3605,0.3677,0.7114,0.745,0.105,0.7154,0.7445,0.8578,0.1737,0.5681,0.6206
G4,Consumer access pathway game,P4,Benefits without adequate controls,57.21,63.59,55.44,67.4,65.47,25.05,52.12,early-access equilibrium,"Patients move to lower-cost access when price, wait, travel and trust costs are lower than delay or ED substitution.",883,0.7285,0.6195,0.9649,0.1609,0.7091,0.6796,0.6474,0.4995,0.7145,0.4604,0.4112,0.9811,0.4069,0.166,0.5682,0.6898,0.0222,0.742,0.369,0.3976,0.9096,0.275,0.4737
G14,Data observability game,P6,Ambulance alternatives only,41.68,48.49,69.08,79.4,65.33,26.99,49.88,observable upstream-flow equilibrium,"Upstream access failure becomes fundable only when data links it to ambulance, ED and avoidable admission outcomes.",850,0.2261,0.376,0.4309,0.6036,0.4787,0.7544,0.738,0.5515,0.6314,0.4554,0.5078,0.5548,0.4757,0.2189,0.8432,0.6717,0.129,0.808,0.7964,0.823,0.0717,0.6083,0.5795
G6,ACC/Health NZ cross-funder game,P2,National Primary Care Benefits Schedule,63.13,74.73,71.99,56.19,48.94,20.59,60.52,whole-of-Crown flow equilibrium,ACC activity funding can stabilise lower-cost capacity; constraining it in isolation risks spillover to Health NZ and patients.,799,0.8368,0.6956,0.7146,0.1943,0.7454,0.4913,0.8703,0.5612,0.4938,0.7389,0.7648,0.7206,0.5459,0.5115,0.6082,0.8123,0.0,0.6501,0.8096,0.8165,0.8487,0.625,0.6673
G10,Co-payment calibration game,P7,Scope-enabled provider supply only,65.86,57.87,74.63,64.59,51.62,16.0,60.8,calibrated co-payment equilibrium,Co-payment can moderate discretionary demand but becomes a delayed-care mechanism without protections.,606,0.4143,0.2041,0.7075,0.3666,0.6751,0.5768,0.9162,0.6507,0.5422,0.5739,0.6581,0.6432,0.5836,0.2774,0.3545,0.7107,0.0,0.8016,0.9641,0.4827,0.4497,0.5315,0.7173
G13,Political economy game,P4,Benefits without adequate controls,61.42,64.88,59.54,62.45,74.94,56.67,46.52,institutional-defence equilibrium,Reform becomes feasible when framed as patient access and hospital avoidance rather than sector income or anti-PHO politics.,164,0.9547,0.6313,0.8861,0.1978,0.705,0.6953,0.7505,0.5577,0.6257,0.3881,0.3393,1.0,0.2855,0.2938,0.6862,0.7831,0.0833,0.8447,0.5132,0.2882,0.8776,0.2262,0.3812
G2,Health NZ internal allocation game,P8,Direct claims and PHO intermediation reform only,41.93,31.91,57.38,85.56,59.05,27.17,46.35,hospital-operations dominance,Management attention shifts upstream when primary and ambulance outcomes have hospital-equivalent salience.,311,0.1824,0.2891,0.3594,0.1925,0.4547,0.4506,0.9127,0.6354,0.7366,0.3794,0.6221,0.7582,0.4503,0.1463,0.3498,0.7532,0.0894,0.8473,0.9257,0.6584,0.8313,0.5345,0.4751
G10,Co-payment calibration game,P6,Ambulance alternatives only,49.87,55.2,60.92,81.68,65.6,10.47,54.94,price-rationing equity failure,Co-payment can moderate discretionary demand but becomes a delayed-care mechanism without protections.,860,0.0731,0.3278,0.3954,0.5245,0.5105,0.7542,0.92,0.6653,0.7928,0.5303,0.5435,0.4749,0.6103,0.3191,0.7445,0.6542,0.1685,0.8755,0.788,0.7719,0.0,0.5704,0.5409
G12,Equity and trust game,P7,Scope-enabled provider supply only,52.76,62.8,56.36,75.88,57.14,19.22,54.67,benefits plus equity-function equilibrium,"Demand-driven benefits need retained kaupapa Maori, Pacific, rural and locality functions to avoid transactional equity failure.",802,0.3678,0.2727,0.7138,0.3805,0.6257,0.434,0.8992,0.5535,0.6408,0.5369,0.4813,0.7374,0.4052,0.2571,0.3461,0.6048,0.1632,0.8534,0.8752,0.7522,0.4334,0.5127,0.5552
G13,Political economy game,P4,Benefits without adequate controls,63.24,66.46,61.71,62.22,72.47,55.31,48.34,institutional-defence equilibrium,Reform becomes feasible when framed as patient access and hospital avoidance rather than sector income or anti-PHO politics.,219,1.0,0.5994,0.8704,0.1262,0.9169,0.6213,0.703,0.4991,0.5938,0.4146,0.4055,0.81,0.3211,0.3671,0.5445,0.5979,0.0997,0.7856,0.2721,0.2791,0.8435,0.2689,0.4048
G11,KPI salience game,P1,Capitation reweighting plus access target,55.4,52.87,76.25,81.59,57.01,18.95,59.1,upstream target salience with balancing measures,"Top-tier KPIs shift behaviour only if paired with funding levers, data and balancing measures.",415,0.2117,0.8487,0.3395,0.5065,0.6167,0.5293,0.789,0.8326,0.4474,0.5816,0.6279,0.6536,0.6208,0.0933,0.3841,0.7362,0.0746,0.7655,0.762,0.6141,0.0,0.4099,0.4291
G8,Scope-of-practice supply game,P2,National Primary Care Benefits Schedule,73.27,70.52,75.94,72.83,47.53,13.65,67.91,scope-enabled supply equilibrium,"Funding eligibility should follow safe scope and governance, not professional category alone.",227,0.7442,0.674,0.701,0.2848,0.7332,0.392,0.9288,0.7194,0.3951,0.6112,0.7319,0.5548,0.4838,0.5584,0.441,0.6106,0.1348,0.667,0.9028,0.686,0.8538,0.4326,0.7738
G7,Ambulance conveyance game,P0,Current source-informed baseline,40.75,46.33,57.35,72.71,86.48,14.31,44.77,ED-conveyance default,"Alternative disposition is stable only when payment, clinical governance, data and follow-up reduce organisational risk.",948,0.063,0.3511,0.3607,0.5765,0.4611,0.5564,0.9917,0.5687,0.563,0.4867,0.4848,0.5619,0.4712,0.3297,0.1904,0.6166,0.2717,0.9618,0.8434,0.6208,0.0,0.3031,0.2882
