scenario_id,scenario_name,funding_architecture,weighted_access,weighted_provider_viability,weighted_equity,weighted_fiscal_control,weighted_hospital_pressure,weighted_gaming_risk,weighted_welfare,supply_generation_index,equity_legitimacy_index,governance_resilience_index,hospital_deflection_index,implementation_readiness_index,fiscal_gaming_risk_index,interaction_penalty,hybrid_viability_score,model_interpretation,draw,marginal_contact_benefit,capitation_weighting,scope_flexibility,pho_transaction_cost,primary_kpi_salience,ambulance_kpi_salience,hospital_political_penalty,data_observability,copayment_level,copayment_protections,equity_program_strength,telehealth_scale,telehealth_integration,local_inperson_loading,ambulance_alternative_funding,acc_activity_funding,acc_constraint,budget_tightness,safety_governance,gaming_controls,direct_claiming,stakeholder_alignment,narrative_coherence
P1,Capitation reweighting plus access target,unspecified architecture,45.64,44.63,71.04,77.68,64.85,18.88,51.95,28.57,55.64,63.79,38.5,56.52,12.66,11.15,35.85,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,123,0.2335,0.7228,0.3984,0.5985,0.6502,0.4273,0.9989,0.6975,0.5173,0.6229,0.7394,0.6137,0.4998,0.4039,0.3592,0.7603,0.1341,0.7218,0.848,0.6018,0.0738,0.3229,0.5024
P7,Scope-enabled provider supply only,unspecified architecture,49.69,48.7,65.55,76.54,62.03,19.7,52.65,38.25,45.93,65.5,40.59,57.57,15.6,10.92,37.73,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,124,0.2887,0.2967,0.8301,0.3767,0.6507,0.4641,0.8428,0.504,0.6497,0.5438,0.623,0.6428,0.4926,0.1803,0.4259,0.6023,0.1805,0.9096,0.9734,0.7241,0.5529,0.5029,0.4786
P5,ACC activity constraint shock,unspecified architecture,33.75,34.61,62.19,79.44,76.09,20.1,43.39,18.75,44.12,57.25,26.51,42.96,14.53,15.29,21.35,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,251,0.0,0.3267,0.3419,0.409,0.3113,0.3634,0.9442,0.4318,0.6668,0.5401,0.5958,0.732,0.4507,0.2935,0.2801,0.3926,0.6759,0.8458,0.6292,0.5821,0.1053,0.2949,0.221
P5,ACC activity constraint shock,unspecified architecture,34.52,34.63,63.24,81.18,73.72,18.28,44.81,16.63,44.97,63.42,29.71,48.53,11.79,13.87,25.18,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,587,0.0034,0.276,0.3235,0.5573,0.2908,0.415,0.8282,0.5881,0.6045,0.5362,0.5916,0.6198,0.3363,0.3235,0.3627,0.451,0.5353,0.9187,0.8746,0.6499,0.0114,0.2861,0.2219
P4,Benefits without adequate controls,unspecified architecture,65.01,65.39,54.77,63.6,53.4,34.07,53.86,61.91,37.18,44.6,51.22,41.06,42.42,14.93,33.66,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,102,0.8174,0.6171,0.8343,0.1436,0.7723,0.6727,0.7197,0.4381,0.6515,0.2275,0.4067,0.9057,0.4132,0.1345,0.5888,0.6361,0.0,0.6605,0.3887,0.2392,1.0,0.4093,0.4012
P1,Capitation reweighting plus access target,unspecified architecture,39.81,38.93,69.68,78.54,69.67,19.76,48.31,19.59,53.87,62.7,34.2,58.98,12.98,12.94,30.64,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,518,0.0888,0.733,0.3486,0.6633,0.5639,0.4353,0.9325,0.5839,0.538,0.4941,0.7862,0.6389,0.3944,0.2444,0.3428,0.664,0.1867,0.8826,0.8082,0.5405,0.0,0.5944,0.4481
P2,National Primary Care Benefits Schedule,unspecified architecture,68.12,65.91,74.86,69.72,47.68,20.02,63.68,61.82,58.23,64.18,51.33,64.92,17.62,5.81,53.97,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,460,0.7671,0.6988,0.658,0.2094,0.7148,0.5199,0.9011,0.7293,0.4036,0.6157,0.7846,0.7176,0.7044,0.6278,0.4259,0.7487,0.1322,0.5753,0.8306,0.6509,0.8148,0.5576,0.6987
P2,National Primary Care Benefits Schedule,unspecified architecture,69.65,66.99,73.33,68.94,45.93,21.78,63.75,63.36,56.74,61.56,56.85,64.5,21.37,7.19,53.3,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,243,0.7939,0.7473,0.7916,0.0851,0.7382,0.6156,0.8922,0.707,0.5225,0.6492,0.7259,0.6435,0.5705,0.493,0.6832,0.7417,0.1738,0.7095,0.7078,0.5851,0.8323,0.6028,0.7703
P5,ACC activity constraint shock,unspecified architecture,34.29,35.03,63.07,79.55,74.95,19.39,44.12,17.12,45.2,61.06,27.81,44.19,11.97,13.73,23.98,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,754,0.0,0.4124,0.3397,0.5435,0.3687,0.3781,0.8806,0.3675,0.6024,0.4785,0.639,0.6148,0.5103,0.3662,0.3169,0.5051,0.44,0.906,0.8895,0.6903,0.0,0.1735,0.2564
P0,Current source-informed baseline,unspecified architecture,35.08,37.29,61.78,78.14,74.5,20.63,44.05,17.68,44.09,57.35,28.88,44.95,15.45,15.35,21.82,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,774,0.0175,0.4687,0.3137,0.6728,0.3549,0.457,0.9389,0.433,0.7073,0.3902,0.6589,0.6112,0.4151,0.2972,0.3153,0.7667,0.0259,0.8159,0.7178,0.5048,0.0568,0.2502,0.3523
P5,ACC activity constraint shock,unspecified architecture,34.63,36.08,60.35,79.84,75.04,19.35,43.85,17.09,42.72,58.44,28.88,43.82,15.17,16.36,20.51,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,954,0.0694,0.4246,0.3282,0.7318,0.3069,0.4222,1.0,0.5058,0.7328,0.4944,0.54,0.6507,0.4242,0.2375,0.3522,0.4914,0.5745,0.8991,0.591,0.6358,0.0719,0.2954,0.2524
P5,ACC activity constraint shock,unspecified architecture,34.91,33.64,64.78,80.55,73.71,18.39,44.96,14.39,47.86,62.11,30.01,47.51,11.28,13.49,25.16,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,92,0.0,0.4032,0.3782,0.7086,0.3175,0.5582,0.8695,0.5133,0.4049,0.5189,0.6316,0.5849,0.431,0.1247,0.3205,0.4043,0.6123,0.9548,0.7784,0.703,0.0,0.1696,0.4068
P2,National Primary Care Benefits Schedule,unspecified architecture,64.66,62.99,73.34,69.88,50.71,20.16,61.43,56.85,57.2,62.89,49.38,63.5,17.64,5.78,51.68,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,137,0.6914,0.8128,0.5245,0.2232,0.6466,0.6101,0.8332,0.5812,0.4573,0.6526,0.726,0.5781,0.6669,0.6283,0.4562,0.7564,0.143,0.5922,0.7812,0.6873,0.7411,0.7271,0.5449
P3,Full upstream access architecture,unspecified architecture,77.91,73.43,84.47,69.83,36.33,16.2,72.18,72.16,68.46,71.32,65.69,79.2,12.01,2.84,67.96,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,611,0.909,0.8134,0.7854,0.1608,0.7975,0.8076,0.5003,0.793,0.3431,0.9205,0.8892,0.6374,0.9549,0.8118,0.7886,0.6805,0.0036,0.5343,0.9153,0.8498,0.9132,0.8758,0.872
P4,Benefits without adequate controls,unspecified architecture,68.46,66.48,57.81,62.89,50.33,32.76,56.23,62.87,40.6,47.28,54.79,43.34,38.55,13.26,37.85,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,117,0.8791,0.6146,0.7793,0.0,0.7916,0.7468,0.737,0.4548,0.5823,0.3928,0.4006,0.9213,0.3166,0.1683,0.6589,0.8136,0.1043,0.8957,0.5486,0.2883,1.0,0.404,0.3522
P3,Full upstream access architecture,unspecified architecture,78.86,74.01,84.94,70.34,35.34,16.0,72.92,72.4,69.0,70.69,68.99,77.04,12.82,3.15,68.12,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,88,0.9512,0.8088,0.7716,0.2386,0.8129,0.8188,0.5503,0.9091,0.3849,0.8369,0.9643,0.7306,0.7817,0.7861,0.9202,0.7058,0.1429,0.5599,0.8384,0.8319,0.9343,0.7334,0.8949
P8,Direct claims and PHO intermediation reform only,unspecified architecture,43.77,43.36,63.65,78.77,67.46,18.62,49.45,32.84,45.68,64.07,34.11,55.3,15.92,10.24,34.98,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,418,0.1085,0.4237,0.4621,0.1866,0.3461,0.4624,0.8175,0.562,0.4637,0.4063,0.6045,0.6767,0.502,0.2336,0.3436,0.7178,0.0924,0.8711,0.7391,0.7532,0.8153,0.5216,0.447
P4,Benefits without adequate controls,unspecified architecture,68.14,69.03,53.94,62.08,50.72,35.95,54.97,66.68,37.04,43.14,54.64,37.53,44.76,15.41,34.31,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,841,0.968,0.6791,0.847,0.1599,0.7818,0.6987,0.7297,0.5584,0.7471,0.3034,0.3333,0.7796,0.3253,0.2878,0.6552,0.6211,0.0012,0.6456,0.4096,0.1635,0.9379,0.2507,0.31
P1,Capitation reweighting plus access target,unspecified architecture,40.31,40.4,67.49,78.87,69.69,19.5,48.34,22.03,51.5,63.09,33.46,57.93,14.22,12.27,31.28,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,207,0.0924,0.7787,0.3509,0.6774,0.609,0.4236,0.9175,0.5775,0.5834,0.4077,0.747,0.6873,0.4519,0.3161,0.2709,0.7565,0.1031,0.768,0.7903,0.5929,0.0856,0.5009,0.5441
P4,Benefits without adequate controls,unspecified architecture,69.08,67.79,58.56,62.11,49.61,32.62,56.79,65.03,42.33,45.56,54.97,37.96,38.89,13.3,37.63,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,464,0.9853,0.6687,0.8016,0.1376,0.6655,0.6668,0.6904,0.526,0.469,0.3263,0.4547,0.8926,0.2792,0.1715,0.7262,0.6583,0.0485,0.7346,0.439,0.3276,0.9072,0.2045,0.2913
P1,Capitation reweighting plus access target,unspecified architecture,41.72,40.5,70.89,77.58,68.53,19.8,49.37,21.65,55.68,62.04,35.06,56.32,12.35,10.92,33.2,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,83,0.1231,0.7287,0.2205,0.7018,0.6671,0.4566,0.8182,0.4795,0.5013,0.6766,0.7508,0.6033,0.5002,0.2708,0.3177,0.6883,0.0492,0.7113,0.7852,0.641,0.0851,0.4635,0.5174
P1,Capitation reweighting plus access target,unspecified architecture,41.49,40.79,69.18,79.25,68.16,18.95,49.49,22.68,53.27,63.67,37.91,54.76,13.59,10.83,33.9,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,589,0.1146,0.7538,0.2962,0.5109,0.6818,0.4979,0.7673,0.5143,0.5924,0.4282,0.8365,0.6692,0.4158,0.2288,0.4637,0.7136,0.1369,0.7624,0.8052,0.7241,0.0533,0.4122,0.4497
P0,Current source-informed baseline,unspecified architecture,41.04,41.57,67.73,77.37,69.51,19.43,48.57,25.4,50.39,60.88,31.29,47.43,13.04,12.04,29.82,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,299,0.1997,0.3982,0.4091,0.506,0.4258,0.4185,0.8933,0.4946,0.571,0.5485,0.7725,0.5871,0.4599,0.2216,0.2404,0.5793,0.0828,0.7816,0.8216,0.6671,0.0756,0.3015,0.1959
P5,ACC activity constraint shock,unspecified architecture,37.72,37.59,59.4,78.49,71.78,19.59,44.95,21.86,40.57,60.54,31.48,47.56,12.93,12.32,26.88,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,437,0.1169,0.3027,0.3473,0.426,0.4598,0.4189,0.798,0.5534,0.5629,0.4827,0.4204,0.5849,0.4716,0.3321,0.3123,0.4002,0.609,0.835,0.7959,0.5603,0.0,0.3014,0.3194
P5,ACC activity constraint shock,unspecified architecture,34.39,35.28,58.65,79.71,75.0,19.13,43.29,16.79,40.12,58.4,28.09,43.54,14.22,14.14,21.97,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,266,0.0608,0.3135,0.2776,0.5799,0.3453,0.4491,0.9217,0.5803,0.6181,0.3499,0.5167,0.4637,0.4811,0.2129,0.2438,0.4056,0.641,0.9609,0.617,0.5626,0.0915,0.2366,0.2809
P5,ACC activity constraint shock,unspecified architecture,38.25,39.41,59.86,76.75,72.97,20.9,44.81,22.88,41.49,59.72,28.25,47.64,16.45,14.8,23.93,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,411,0.1898,0.4157,0.3237,0.6168,0.4163,0.3456,0.9222,0.4219,0.652,0.3746,0.5587,0.7145,0.4978,0.3201,0.2185,0.4412,0.6196,0.8917,0.8403,0.5804,0.1638,0.3599,0.3063
P5,ACC activity constraint shock,unspecified architecture,34.27,34.82,60.28,78.19,76.32,20.76,42.78,17.69,42.03,57.21,26.57,40.4,14.59,15.86,19.81,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,21,0.0382,0.3342,0.3935,0.5797,0.405,0.402,1.0,0.2862,0.6176,0.5018,0.5497,0.6942,0.4064,0.2576,0.2627,0.4185,0.605,0.9226,0.7245,0.656,0.0542,0.2209,0.211
P5,ACC activity constraint shock,unspecified architecture,35.35,36.68,60.9,78.19,74.66,20.09,43.9,18.83,42.18,57.29,26.49,43.31,15.99,14.35,22.01,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,546,0.1039,0.3323,0.2957,0.6067,0.3081,0.4109,0.8055,0.4426,0.5966,0.2883,0.6595,0.721,0.5246,0.2595,0.1998,0.4781,0.4916,0.8998,0.62,0.5986,0.0895,0.3463,0.1997
P4,Benefits without adequate controls,unspecified architecture,68.26,68.24,55.2,60.96,51.04,34.82,55.1,65.75,38.17,43.03,51.19,37.77,43.6,15.82,33.13,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,986,1.0,0.5797,0.8061,0.0708,0.5889,0.6426,0.6649,0.4707,0.599,0.3433,0.3626,1.0,0.3402,0.2692,0.5891,0.8213,0.0195,0.8156,0.3742,0.2351,0.9224,0.2551,0.3884
P8,Direct claims and PHO intermediation reform only,unspecified architecture,46.76,46.67,62.7,76.68,65.41,19.73,50.38,36.06,44.41,61.77,36.13,52.0,16.99,9.05,36.26,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,281,0.2366,0.354,0.3463,0.1696,0.4458,0.4061,0.7436,0.5816,0.6089,0.4916,0.5665,0.5093,0.4891,0.3301,0.3571,0.6661,0.0513,0.9441,0.7283,0.6751,0.8842,0.4173,0.4152
P6,Ambulance alternatives only,unspecified architecture,41.16,40.44,65.62,80.71,67.02,18.25,49.1,21.7,46.48,66.38,44.51,59.35,13.79,14.04,31.87,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,435,0.0688,0.3858,0.3634,0.6036,0.4384,0.7703,0.9606,0.577,0.6747,0.4626,0.6634,0.6995,0.3965,0.3042,0.8632,0.7522,0.2024,0.8633,0.8359,0.7365,0.095,0.5976,0.4922
P4,Benefits without adequate controls,unspecified architecture,67.81,67.41,57.72,63.56,51.1,32.75,56.21,64.81,41.95,45.8,52.66,38.88,41.72,15.14,35.33,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,307,0.9419,0.7785,0.9266,0.1103,0.6877,0.6626,0.6997,0.5224,0.6518,0.3099,0.4766,0.916,0.2856,0.1374,0.6156,0.607,0.0,0.8614,0.3799,0.3543,1.0,0.308,0.2571
P8,Direct claims and PHO intermediation reform only,unspecified architecture,45.14,45.27,63.03,79.21,66.73,18.89,50.17,33.08,45.52,65.89,35.51,57.14,15.73,12.05,34.15,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,712,0.1605,0.4612,0.3388,0.2279,0.5393,0.4074,0.9337,0.6681,0.6886,0.5303,0.5542,0.7283,0.4161,0.2322,0.289,0.7746,0.0782,0.7667,0.8746,0.6944,0.7255,0.4628,0.4587
P2,National Primary Care Benefits Schedule,unspecified architecture,63.32,61.33,76.23,71.85,52.05,19.21,61.73,55.39,60.67,64.3,49.22,62.25,16.86,7.46,50.37,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,844,0.5968,0.8573,0.6277,0.2249,0.6517,0.6522,1.0,0.5551,0.5339,0.6887,0.8653,0.7049,0.6415,0.5975,0.4809,0.7179,0.1493,0.6727,0.8266,0.7686,0.8307,0.5209,0.6537
P0,Current source-informed baseline,unspecified architecture,38.5,39.51,62.03,77.51,71.63,19.86,45.89,22.17,43.68,59.58,29.96,44.64,14.4,13.76,25.15,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,248,0.1294,0.3036,0.447,0.694,0.3585,0.4138,0.9152,0.4818,0.4989,0.3874,0.6225,0.6572,0.4549,0.1723,0.2773,0.6681,0.0483,0.7877,0.7931,0.6162,0.1208,0.2031,0.2802
P2,National Primary Care Benefits Schedule,unspecified architecture,65.9,63.39,75.04,72.09,48.58,18.68,63.18,57.22,58.32,67.29,52.75,70.62,16.08,6.27,54.12,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,11,0.6683,0.6943,0.6036,0.2023,0.6258,0.5904,0.8847,0.7243,0.499,0.6216,0.8211,0.6427,0.6179,0.4149,0.5877,0.5914,0.0908,0.6844,0.8517,0.718,0.9258,0.6989,0.8265
P3,Full upstream access architecture,unspecified architecture,76.97,72.66,84.83,70.78,36.96,15.79,72.02,71.36,68.07,71.88,67.04,76.14,10.78,2.99,67.56,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,138,0.8575,0.7976,0.8138,0.2003,0.8699,0.8599,0.5972,0.791,0.3089,0.7312,0.9944,0.7234,0.8965,0.8442,0.8434,0.6912,0.0,0.3796,0.976,0.8845,0.7981,0.7389,0.807
P7,Scope-enabled provider supply only,unspecified architecture,51.93,50.75,64.64,75.28,60.21,19.83,53.45,39.66,45.92,63.47,42.72,56.27,17.11,11.33,37.52,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,87,0.4093,0.337,0.7089,0.3647,0.5338,0.4812,0.8816,0.6461,0.5962,0.5396,0.5698,0.7059,0.381,0.2741,0.5026,0.7036,0.1671,0.9654,0.8206,0.6556,0.4625,0.4462,0.5084
P5,ACC activity constraint shock,unspecified architecture,35.37,36.45,61.91,79.06,74.5,19.47,44.38,18.97,43.02,58.82,28.47,43.38,14.01,13.85,23.47,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,291,0.053,0.3101,0.4522,0.6151,0.3654,0.5577,0.9055,0.3666,0.5857,0.398,0.6337,0.588,0.5731,0.17,0.2542,0.6246,0.5759,0.8312,0.669,0.7062,0.0371,0.3541,0.1759
P2,National Primary Care Benefits Schedule,unspecified architecture,67.25,65.26,74.73,72.09,47.92,17.22,64.18,60.64,57.22,66.8,52.36,65.37,14.4,5.26,54.91,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,697,0.7229,0.6477,0.6875,0.328,0.7284,0.5804,0.8836,0.7512,0.4827,0.5927,0.7914,0.6353,0.7885,0.7115,0.4688,0.7176,0.1732,0.6138,0.7812,0.8037,0.8531,0.5416,0.738
P4,Benefits without adequate controls,unspecified architecture,64.88,65.68,56.24,63.33,53.64,33.86,54.16,62.16,38.88,43.13,50.66,37.19,43.33,16.1,31.91,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,934,0.8825,0.5911,0.9151,0.1044,0.6649,0.8239,0.702,0.418,0.6894,0.2703,0.4804,0.8257,0.3096,0.107,0.5518,0.6878,0.0,0.6982,0.2826,0.3031,0.8057,0.3213,0.3467
