option_id,criterion_id,raw_score_minus2_to_plus2,confidence_0_to_1,rationale
O3,C9,-0.1,0.5,Contestable but patient-access framing helps.
O3,C10,0.8,0.65,Claims platform improves observability.
O4,C1,1.9,0.65,Scope-enabled claiming expands supply.
O4,C2,1.3,0.6,More upstream access may deflect hospital flow.
O4,C3,0.5,0.55,Potential equity gain if high-need providers are included.
O4,C4,1.0,0.6,Can improve rural supply if local non-GP providers claim.
O4,C5,-0.4,0.45,More providers increase fiscal exposure.
O4,C6,-0.3,0.45,Low-value activity risk rises without tight governance.
O4,C7,1.3,0.6,Major market-entry gain.
O4,C8,0.2,0.5,Clinical safety depends on scope rules and audit.
O4,C9,-0.4,0.45,Professional contestation likely.
O4,C10,0.7,0.6,Claiming data improves visibility.
O5,C1,1.9,0.7,Strong supply architecture with governance.
O5,C2,1.7,0.65,Best whole-system hospital-deflection logic.
O5,C3,1.5,0.6,Equity protections and retained relational functions.
O5,C4,1.5,0.65,Rural/in-person loading and ambulance alternatives.
O5,C5,0.5,0.5,Demand-driven but controlled by rules and audit.
O5,C6,0.8,0.55,Controls reduce low-value activity risk.
O5,C7,1.3,0.65,Direct/optional claims reduce friction.
O5,C8,1.3,0.6,Governance designed into architecture.
O5,C9,0.0,0.45,Complex but coalition-building possible.
O5,C10,1.6,0.7,Data visibility and top-tier KPIs.
O6,C1,1.4,0.65,Access expands.
O6,C2,0.8,0.55,Some deflection but poorly controlled.
O6,C3,-0.8,0.5,Co-payment and provider-induced patterns may worsen inequity.
O6,C4,0.4,0.45,May not protect rural in-person care.
O6,C5,-1.5,0.65,High fiscal exposure.
O6,C6,-1.6,0.7,High gaming/low-value risk.
O6,C7,1.0,0.55,Entry improves.
O6,C8,-1.2,0.6,Weak governance.
O6,C9,-0.8,0.55,Politically vulnerable.
O6,C10,0.3,0.5,More claims data but weak accountability.
O7,C1,0.5,0.6,Improves urgent/prehospital supply but primary care remains constrained.
O7,C2,0.7,0.65,Ambulance alternatives can reduce ED flow.
O7,C3,0.3,0.55,Equity depends on access pathway design.
O7,C4,0.5,0.6,Useful rural lever.
O7,C5,0.0,0.5,May save hospital costs but needs funding.
O7,C6,0.2,0.55,Moderate risk if protocols tight.
O7,C7,0.2,0.5,Does not solve PHO/primary care entry.
O7,C8,0.5,0.6,Paramedic protocols can be governed.
O7,C9,0.3,0.55,Usually more feasible than PHO/GP funding reform.
O7,C10,0.6,0.6,Ambulance data already relatively mature.
O8,C1,0.4,0.55,Direct claiming may enable entry but no contact benefits.
O8,C2,0.2,0.5,Indirect hospital effect only.
O8,C3,0.0,0.45,Equity depends on replacement functions.
O8,C4,0.2,0.45,Potential rural entry but not guaranteed.
O8,C5,0.2,0.5,Simplification may reduce costs.
O8,C6,0.0,0.45,Claiming risk depends on rules.
O8,C7,1.5,0.6,Strongest market-entry simplification.
O8,C8,0.3,0.5,Needs replacement accountability.
O8,C9,-0.8,0.45,Institutional contestation likely.
O8,C10,0.3,0.55,Direct claims can improve data if designed well.
O9,C1,-0.8,0.8,Upstream supply remains constrained.
O9,C2,-0.4,0.75,May treat hospital pressure after the fact.
O9,C3,-0.2,0.65,Does not address upstream access equity.
O9,C4,-0.3,0.6,Rural upstream access may remain weak.
O9,C5,-0.8,0.65,High-cost sector absorbs growth.
O9,C6,0.7,0.7,"Low claiming-gaming risk, but high system opportunity cost."
O9,C7,0.5,0.65,Administratively familiar.
O9,C8,0.5,0.7,Hospital governance strong.
O9,C9,0.6,0.75,Politically familiar rescue model.
O9,C10,0.2,0.65,"Hospital data visible, upstream data still incomplete."
