category,artefact,versioned,role
modelling,docs/modelling/demonstrative-model-sensitivity-v0.6.0.csv,True,data/audit table
modelling,docs/modelling/demonstrative-model-summary-v0.6.0.csv,True,data/audit table
modelling,docs/modelling/game-mapping-matrix-v0.4.0.csv,True,data/audit table
modelling,docs/modelling/hybrid-model-results-v0.8.0.csv,True,data/audit table
modelling,docs/modelling/hybrid-uncertainty-draws-v0.8.0.csv,True,data/audit table
modelling,docs/modelling/hybrid-uncertainty-summary-v0.8.0.csv,True,data/audit table
modelling,docs/modelling/model-parameter-inventory-v0.5.0.csv,True,data/audit table
modelling,docs/modelling/monte-carlo-draw-sample-v0.7.0.csv,True,data/audit table
modelling,docs/modelling/monte-carlo-scenario-summary-v0.7.0.csv,True,data/audit table
modelling,docs/modelling/parameter-prior-register-v0.7.0.csv,True,data/audit table
modelling,docs/modelling/scenario-probability-comparisons-v0.7.0.csv,True,data/audit table
modelling,docs/modelling/sensitivity-driver-ranking-hospital-pressure-by-scenario-v0.7.0.csv,True,data/audit table
modelling,docs/modelling/sensitivity-driver-ranking-hospital-pressure-v0.7.0.csv,True,data/audit table
modelling,docs/modelling/sensitivity-driver-ranking-welfare-by-scenario-v0.7.0.csv,True,data/audit table
modelling,docs/modelling/sensitivity-driver-ranking-welfare-v0.7.0.csv,True,data/audit table
modelling,docs/modelling/stress-crosswalk-v0.5.0.csv,True,data/audit table
oia,docs/oia/data-request-dashboard-v0.5.0.csv,True,data/audit table
oia,docs/oia/oia-log-v0.1.0.csv,True,data/audit table
qualitative,docs/qualitative/stakeholder-sampling-frame-v0.5.0.csv,True,data/audit table
review,docs/review/extraction-matrix-template-v0.1.0.csv,True,data/audit table
review,docs/review/prisma-scr-crosswalk-v0.5.0.csv,True,data/audit table
review,docs/review/title-abstract-screening-form-v0.5.0.csv,True,data/audit table
figures,docs/figures/hybrid-components-by-scenario-v0.8.0.png,True,figure
figures,docs/figures/hybrid-deflection-risk-scatter-v0.8.0.png,True,figure
figures,docs/figures/hybrid-model-synthesis-v0.8.0.dot,True,figure
figures,docs/figures/hybrid-model-synthesis-v0.8.0.png,True,figure
figures,docs/figures/hybrid-model-synthesis-v0.8.0.svg,True,figure
figures,docs/figures/hybrid-uncertainty-viability-v0.8.0.png,True,figure
figures,docs/figures/hybrid-viability-by-scenario-v0.8.0.png,True,figure
model-code,models/primarycare_model/__init__.py,False,executable model code
model-code,models/primarycare_model/abm_stub.py,False,executable model code
model-code,models/primarycare_model/audit.py,False,executable model code
model-code,models/primarycare_model/demonstrative_games.py,False,executable model code
model-code,models/primarycare_model/game.py,False,executable model code
model-code,models/primarycare_model/hybrid_model.py,False,executable model code
model-code,models/primarycare_model/nz_game.py,False,executable model code
model-code,models/primarycare_model/nz_game_map.py,False,executable model code
model-code,models/primarycare_model/sd_stub.py,False,executable model code
model-code,models/primarycare_model/uncertainty.py,False,executable model code
